OP,A1,A2,A3,A4,A5
+,21283,4504,17992,14437,49220
+,6305,48508,44326,45751,15181
+,46956,29482,17507,17594,37531
+,26776,45496,1853,32286,39890
+,49674,12734,20318,1470,46107
-,31804,0,0,0,0
+,34583,21294,1222,44644,14291
-,5800,0,0,0,0
+,14061,11399,47808,4136,3900
-,13446,0,0,0,0
-,34952,0,0,0,0
+,18268,29705,4321,48158,23306
-,31004,0,0,0,0
+,2795,3850,39396,15986,5943
+,20202,30069,29762,18820,36013
+,26928,3551,27622,38125,16765
+,30728,34840,7865,5904,46937
+,22039,20316,6497,44097,40386
+,31043,44696,22154,47187,28502
+,42902,43612,19818,45953,25437
-,15278,0,0,0,0
+,23208,22080,41404,28268,38167
+,45093,25229,9506,5250,4596
+,14533,47756,26131,39318,8072
+,22082,14328,46030,4958,3615
-,26441,0,0,0,0
-,29272,0,0,0,0
-,16518,0,0,0,0
-,6941,0,0,0,0
+,44195,44732,11508,239,20154
+,34539,22458,23934,2519,33990
-,11463,0,0,0,0
-,29379,0,0,0,0
+,45157,24498,41431,35689,20908
-,11244,0,0,0,0
+,2652,49753,20935,14638,33547
+,21649,45844,29932,29410,46872
+,45101,4837,17074,8916,43929
-,19822,0,0,0,0
+,40143,13342,4165,8291,46294
-,24456,0,0,0,0
+,21592,32903,27658,45173,29808
+,22625,30389,1119,21795,14620
+,9438,44937,8167,4078,16004
-,25798,0,0,0,0
-,2852,0,0,0,0
+,49379,43962,5640,13177,6584
+,4006,24279,37861,29496,24226
-,18403,0,0,0,0
+,13977,12264,24147,28220,47506
+,29431,32018,25183,34372,10679
-,14190,0,0,0,0
-,16413,0,0,0,0
+,36476,28308,27778,43870,32158
-,553,0,0,0,0
-,4227,0,0,0,0
-,22493,0,0,0,0
-,26711,0,0,0,0
-,26893,0,0,0,0
+,25102,21739,1580,20373,20942
+,47880,49628,13941,41627,42326
+,36902,21955,15015,45670,45670
-,6637,0,0,0,0
+,37345,49075,5586,15907,23427
+,21577,1066,30586,4995,42150
+,36140,48383,39483,32252,26537
-,29214,0,0,0,0
+,21229,35285,15397,23916,32586
+,3215,1488,37934,30115,36995
+,2559,29200,45412,5784,17619
-,21427,0,0,0,0
+,14936,21162,12066,11445,17336
-,209,0,0,0,0
+,39728,18650,44200,32401,4193
-,15013,0,0,0,0
-,12384,0,0,0,0
+,41649,32756,15104,31420,6786
+,25215,1699,24376,26819,17388
+,19333,38845,35958,13690,28559
+,47261,25317,30723,7229,24132
-,25743,0,0,0,0
-,25427,0,0,0,0
-,21043,0,0,0,0
+,48865,32191,21700,23710,5196
+,25511,17829,20720,1256,11652
+,5274,21452,804,49251,1625
+,49087,7794,20818,17307,30992
-,16324,0,0,0,0
+,23194,46873,24771,29333,45671
+,7721,38826,19899,16744,9325
-,33955,0,0,0,0
+,14893,27671,19518,14067,5130
-,1992,0,0,0,0
-,30884,0,0,0,0
-,1516,0,0,0,0
+,10475,37376,2850,32831,27045
+,25841,13178,3528,19424,2781
+,36385,16984,38845,15871,20949
-,25464,0,0,0,0
+,13467,6267,44478,33381,30949
-,29522,0,0,0,0
+,31502,43339,10290,22432,49879
+,38870,35944,41067,49982,40521
-,7099,0,0,0,0
+,32053,23263,44031,5700,11275
-,3381,0,0,0,0
-,5929,0,0,0,0
-,34955,0,0,0,0
+,11191,26673,3741,20418,7713
-,5135,0,0,0,0
-,2010,0,0,0,0
+,35478,1984,26076,1727,713
+,4548,6271,28760,21864,44592
-,5859,0,0,0,0
+,25616,36194,8771,14525,32062
+,32672,36239,44908,41658,48972
+,49931,36358,48448,30180,22300
+,4162,8754,28778,12863,29060
+,30577,48381,30165,13177,42857
+,37407,7162,37806,42592,446
+,16146,23581,24015,47439,22120
+,22261,39425,29538,29874,29829
+,7003,20191,25273,41199,49033
+,5124,11924,43224,44545,43013
-,26680,0,0,0,0
-,13708,0,0,0,0
-,21379,0,0,0,0
+,38640,25929,36220,13672,38427
-,2785,0,0,0,0
-,3940,0,0,0,0
+,10652,6607,43127,49658,35301
-,17422,0,0,0,0
-,8221,0,0,0,0
-,16897,0,0,0,0
+,39101,16677,3341,21498,41924
-,193,0,0,0,0
-,5515,0,0,0,0
+,15238,12654,565,37062,47291
+,26906,15705,470,11150,778
+,13440,43967,39739,13660,48255
+,4391,22860,40529,9329,10124
-,5580,0,0,0,0
+,15330,26457,17680,41897,32247
+,37542,19419,5073,43721,13184
-,13548,0,0,0,0
-,23651,0,0,0,0
+,13114,39113,47191,7736,13035
+,39284,32297,13253,35711,8707
-,17731,0,0,0,0
+,16036,41765,28311,18466,12110
+,11997,39616,31049,21248,34381
+,12750,48214,39471,33916,42459
-,14442,0,0,0,0
+,9504,24686,49155,30445,32288
-,33905,0,0,0,0
-,5252,0,0,0,0
+,38547,9656,45384,30315,13820
-,4863,0,0,0,0
-,24707,0,0,0,0
+,34026,19344,39790,32543,12919
-,34056,0,0,0,0
+,6531,18772,35373,779,6811
-,19447,0,0,0,0
-,20649,0,0,0,0
-,4387,0,0,0,0
-,10216,0,0,0,0
+,12094,14917,35076,37637,42376
-,12782,0,0,0,0
+,45336,21225,15476,49668,37018
-,5241,0,0,0,0
+,43880,23047,49279,23576,3340
+,43894,2777,11938,3012,46145
-,32004,0,0,0,0
+,4515,605,20986,41926,15659
+,7151,20764,12486,36583,5300
+,21379,23776,9538,4439,29287
+,45745,16524,12311,34542,15359
+,16952,20592,36547,5618,32871
-,29473,0,0,0,0
-,10557,0,0,0,0
-,10778,0,0,0,0
-,19468,0,0,0,0
+,18596,4493,10545,31241,42246
+,33007,47226,34261,5109,42423
-,32032,0,0,0,0
+,33360,5583,16604,19284,44383
-,24285,0,0,0,0
-,21778,0,0,0,0
-,9489,0,0,0,0
-,24449,0,0,0,0
+,32792,26914,47043,27791,33215
+,959,49512,16152,23977,18434
+,39457,6840,37336,40014,41982
-,3018,0,0,0,0
-,20210,0,0,0,0
-,18445,0,0,0,0
+,16818,20821,24294,8866,27278
+,22284,36044,76,20294,28999
-,14662,0,0,0,0
-,9128,0,0,0,0
-,6240,0,0,0,0
+,10934,45053,8397,13855,4910
+,40755,18371,11315,45300,43702
+,3748,17003,34434,3327,18533
+,37893,27495,31460,12803,48527
+,41500,5195,45138,20383,30542
+,13273,20405,38534,45379,34571
-,7770,0,0,0,0
-,18420,0,0,0,0
-,27593,0,0,0,0
+,19121,9917,22677,24949,4807
+,49653,17167,38201,27471,47939
-,6856,0,0,0,0
+,10856,27661,44796,22791,14578
-,25827,0,0,0,0
-,26363,0,0,0,0
-,4549,0,0,0,0
+,45837,47528,19271,39280,27049
-,4520,0,0,0,0
-,2853,0,0,0,0
+,41566,7140,21186,41704,27147
+,34767,40970,2899,27747,10091
-,5710,0,0,0,0
+,28965,43223,1731,6393,43066
+,321,23860,27313,38495,1399
-,16018,0,0,0,0
+,31974,40020,25843,16090,7153
+,21227,17104,2324,28125,29734
-,31742,0,0,0,0
-,34186,0,0,0,0
-,33100,0,0,0,0
-,8215,0,0,0,0
-,29128,0,0,0,0
-,34466,0,0,0,0
-,3262,0,0,0,0
+,37830,19211,2145,5348,28378
-,23221,0,0,0,0
+,46682,21531,44482,3774,17691
-,409,0,0,0,0
-,11752,0,0,0,0
+,19899,12027,2647,40483,11699
-,23494,0,0,0,0
+,27250,1235,38352,23593,44713
+,28775,42122,7582,15693,29280
+,10164,46731,40696,7969,23837
+,29607,29276,2534,12760,2821
+,34813,23019,17186,32765,38632
-,12489,0,0,0,0
+,2786,34907,28864,33943,26574
+,44618,24203,22685,48248,32780
+,39449,29666,5886,3249,9485
-,23372,0,0,0,0
+,14125,33967,25826,29127,45538
+,11753,3217,5132,39771,30523
+,41567,20930,24107,6170,37021
+,42863,46507,41388,21283,20431
+,43417,5724,18174,3155,861
+,3704,4913,2929,46354,45965
+,35249,21412,45735,1806,5816
-,11524,0,0,0,0
+,33856,12049,4892,49915,8973
+,20225,39213,24753,15534,29499
+,1369,37217,34885,15874,11850
+,29223,23896,16929,14925,33899
+,33147,6719,37310,37013,37370
+,33815,13267,8974,35488,25095
-,34680,0,0,0,0
+,36741,21851,34256,48014,16636
-,168,0,0,0,0
+,14064,40062,47670,10097,24711
+,18198,3418,31398,42985,5439
-,3884,0,0,0,0
-,6767,0,0,0,0
+,23501,5878,23023,34648,29087
-,12464,0,0,0,0
-,6429,0,0,0,0
-,28414,0,0,0,0
+,22262,4273,46796,15451,27374
+,22687,31063,2643,28649,31763
+,39143,49593,49709,30086,5926
+,24727,14398,16386,34335,6025
-,19239,0,0,0,0
+,45071,15065,34931,35950,36845
+,5655,44969,527,6665,29548
+,15982,34117,44839,38065,8537
-,752,0,0,0,0
+,23970,45067,12308,287,34747
+,9486,37085,34790,39248,5446
-,13663,0,0,0,0
+,30202,48352,745,33345,27908
-,12663,0,0,0,0
+,18821,25226,175,17180,45985
+,5987,19480,26583,26541,34812
+,19783,30143,77,41897,2322
+,23752,7396,15815,43203,46930
+,3966,23223,20889,17404,34296
+,3252,31838,4630,8228,32308
+,11882,3912,21269,30165,43958
-,32073,0,0,0,0
+,11802,18753,19549,37992,15860
+,18557,25686,13691,37891,30122
+,41843,15860,45318,5638,39366
+,36617,28668,42456,17405,15580
-,14565,0,0,0,0
+,15603,47470,28480,15500,44584
+,555,42913,49351,30899,38628
-,23875,0,0,0,0
-,26819,0,0,0,0
+,38044,7779,26690,45937,29123
-,28922,0,0,0,0
+,27448,6978,33157,13318,35349
+,35407,17320,28817,20370,30156
+,30366,3164,30538,16927,26117
+,382,9538,3307,28189,8315
+,44981,19484,29894,35818,31952
-,30354,0,0,0,0
-,23230,0,0,0,0
-,11439,0,0,0,0
-,13784,0,0,0,0
-,1409,0,0,0,0
-,14047,0,0,0,0
+,14709,38219,16820,23461,24088
-,21958,0,0,0,0
+,28626,13097,9512,6016,47991
+,34075,45197,936,47173,28573
+,5824,6885,21931,44831,5034
+,8467,383,42356,42957,39847
-,26795,0,0,0,0
-,22452,0,0,0,0
-,33377,0,0,0,0
+,1139,28834,21572,39031,10430
-,4496,0,0,0,0
+,37633,19617,32810,24199,47050
+,26249,35770,8949,26901,27656
+,38784,26520,7435,30631,5437
-,11271,0,0,0,0
+,5870,1436,3973,762,21882
+,13800,26926,45147,38435,17419
+,11842,5861,12763,45722,8178
-,3277,0,0,0,0
+,12193,39354,6595,15038,26236
+,34091,21297,20231,44825,44203
+,37212,42374,31076,17437,44307
-,25021,0,0,0,0
-,34059,0,0,0,0
+,5541,21053,40596,12697,5243
+,3726,28162,2119,32470,37410
-,34910,0,0,0,0
+,25172,36386,48066,8818,10842
+,40101,32415,1507,24881,1634
-,10418,0,0,0,0
-,22618,0,0,0,0
+,31977,31917,39525,16858,36581
-,33557,0,0,0,0
+,4436,37570,43466,3323,37237
+,2840,29813,19523,48084,41711
+,12073,24242,39863,33095,13404
+,22832,22248,49799,49095,3053
+,43756,25302,32459,3449,1807
-,15954,0,0,0,0
+,126,33261,43634,21875,26894
-,24626,0,0,0,0
+,25702,43109,18174,36356,495
+,27934,33967,6548,35600,1428
-,8343,0,0,0,0
+,4882,2236,30107,13380,23256
-,11209,0,0,0,0
+,18459,26318,12859,6234,44109
-,7107,0,0,0,0
+,1795,44806,49834,9726,37120
+,24705,32712,21583,8038,12366
+,21251,33088,3144,31297,13551
+,38996,2037,10866,5721,16013
+,19530,26848,23388,45214,18170
+,26355,10076,21465,23599,4121
-,4740,0,0,0,0
-,3426,0,0,0,0
+,1265,10027,11556,6146,35161
+,19821,10421,10998,27582,10896
+,4373,1119,10641,33119,48000
+,26875,26462,6896,46701,13307
+,19038,42302,16007,37637,780
+,38978,43333,7949,45368,22424
-,34597,0,0,0,0
+,41089,46626,14078,34650,32106
+,7136,33581,1161,43749,31449
+,42173,49723,39596,40700,40098
-,6899,0,0,0,0
-,34391,0,0,0,0
-,3890,0,0,0,0
+,49745,24740,30759,8608,46938
+,16173,34429,39507,548,17744
-,19136,0,0,0,0
+,39923,18717,36938,46981,4978
+,42882,37862,43319,35226,20021
-,26259,0,0,0,0
+,142,46123,32679,42927,9375
+,48235,6860,18129,30891,41512
+,21479,8680,13418,24639,49430
+,17419,1068,47023,41552,100
+,29057,28434,40328,45081,36475
+,14954,4936,18773,13948,6958
-,11102,0,0,0,0
+,43980,11521,41456,32529,10685
+,23398,3191,48726,18539,33119
-,7597,0,0,0,0
-,22870,0,0,0,0
-,15676,0,0,0,0
+,40334,30229,29806,11204,42859
+,39418,27464,17956,36530,41057
+,502,38290,15833,26861,49690
+,37279,48663,34487,38189,10362
+,2233,29991,21012,24343,47196
-,6840,0,0,0,0
+,15245,35490,39028,8755,20613
+,7523,17912,20508,48699,34391
-,5202,0,0,0,0
-,32570,0,0,0,0
+,34243,32546,29776,8230,7628
-,29486,0,0,0,0
+,46534,35382,43859,22566,20406
+,33740,48906,22949,13979,9432
+,13203,31339,1491,32612,39635
-,34231,0,0,0,0
-,27711,0,0,0,0
-,28751,0,0,0,0
-,1454,0,0,0,0
-,21873,0,0,0,0
-,12130,0,0,0,0
-,24986,0,0,0,0
+,38155,36894,38597,41117,10494
+,24948,35816,707,25340,35976
-,5139,0,0,0,0
-,26266,0,0,0,0
+,16033,6218,12980,42811,6569
-,14305,0,0,0,0
+,36422,49231,2062,8068,32815
+,2337,1756,908,7102,41398
+,23679,21156,6025,30599,32532
+,33466,18845,19850,38303,30385
-,20291,0,0,0,0
+,26069,48757,39467,47097,34910
+,47758,13562,4639,34788,46677
+,48821,757,8320,8302,48355
+,2164,6172,18228,42824,45243
+,47571,24634,23643,29849,26772
+,28655,44011,6218,21223,20418
-,18851,0,0,0,0
+,37011,8136,8381,36371,40786
+,38980,14036,17334,41276,43140
+,35804,30423,10028,5693,45964
+,18359,9934,24264,3103,18244
+,26118,38456,6696,19903,17438
+,47744,48484,42716,26666,12664
+,47139,1549,3431,41916,7192
+,47147,29423,33668,30287,11173
+,28631,49352,9929,11307,28858
-,32311,0,0,0,0
-,17555,0,0,0,0
-,28083,0,0,0,0
+,3467,44945,40575,36102,14191
+,33742,43504,27042,984,36911
+,40072,30390,19644,179,375
-,8798,0,0,0,0
-,7755,0,0,0,0
+,13777,45172,17408,39607,18564
+,42090,43516,42845,2997,249
-,8154,0,0,0,0
+,27762,30198,12214,38419,44959
+,45916,16732,43374,37490,14551
+,13893,45147,36761,25086,47913
-,1359,0,0,0,0
-,19918,0,0,0,0
+,29731,13079,28309,44295,19337
+,20659,47366,32407,49086,49638
-,29865,0,0,0,0
+,23406,48584,49250,3221,18762
+,19331,37805,19154,5818,10742
-,21803,0,0,0,0
+,5448,32213,40176,1657,48512
-,2822,0,0,0,0
+,18778,3142,38793,27597,36833
+,38556,2955,39787,34391,25284
+,49777,49710,23420,41619,15595
+,25817,16076,5180,30518,6220
+,28315,34123,9411,35798,43434
-,11661,0,0,0,0
+,35915,12143,902,3286,18321
-,27482,0,0,0,0
-,10443,0,0,0,0
+,32341,26253,42012,49816,21021
+,20039,6460,23117,15108,44551
-,13878,0,0,0,0
-,16366,0,0,0,0
+,15064,49784,1606,27135,32162
-,29518,0,0,0,0
-,12036,0,0,0,0
-,28723,0,0,0,0
+,837,22330,41340,30045,38331
+,46728,18109,19665,37005,4787
-,7108,0,0,0,0
-,3849,0,0,0,0
+,20857,5472,34899,47772,19930
+,8372,1241,15685,49782,38433
-,21612,0,0,0,0
-,24440,0,0,0,0
+,17516,42426,33509,44793,40036
-,11922,0,0,0,0
+,37058,40581,37102,28873,5157
-,24338,0,0,0,0
+,42335,34551,32912,49822,35538
+,1201,2632,27082,25672,16363
+,35920,2388,38972,25600,49144
+,24561,16127,46626,34541,38212
+,30537,20220,16978,14600,38136
+,13771,12002,37972,42145,23013
-,15068,0,0,0,0
+,9191,31435,2218,25921,28217
-,15017,0,0,0,0
-,1658,0,0,0,0
+,42849,6274,7725,22102,15081
-,4423,0,0,0,0
-,19931,0,0,0,0
+,1808,7696,29774,43167,7155
-,32499,0,0,0,0
+,21710,32071,3689,407,7113
+,8336,23710,39877,23452,4311
-,5961,0,0,0,0
+,6274,36082,2531,45718,8976
+,47786,32145,9972,9638,28123
-,29728,0,0,0,0
+,21596,22402,22807,2598,29616
+,47052,13111,4167,30071,27617
-,28456,0,0,0,0
-,28616,0,0,0,0
+,7935,6154,10340,45309,32190
-,25389,0,0,0,0
+,2029,31363,181,17606,6463
-,32599,0,0,0,0
+,34197,2455,40435,47894,1651
+,27032,38358,40608,14583,9613
+,45555,29679,44313,40276,25588
-,27431,0,0,0,0
-,26502,0,0,0,0
+,45686,35344,30269,29858,40264
+,35370,23911,711,5901,8494
+,24632,31918,30497,3540,26791
+,47268,8267,1055,31716,16961
-,32972,0,0,0,0
+,16305,18659,34483,49635,38307
+,364,14877,14459,12533,36192
+,41595,41626,33198,48470,17873
+,49823,5838,21319,17181,11616
+,9981,18821,33818,28377,43806
-,7951,0,0,0,0
-,21326,0,0,0,0
+,45668,26733,23516,8632,32240
-,8939,0,0,0,0
+,37060,33023,6924,11308,11419
-,4495,0,0,0,0
+,2950,10816,8320,32040,1455
-,2737,0,0,0,0
+,1484,26974,14423,6734,21167
+,15702,15362,37144,9421,10358
-,8026,0,0,0,0
+,33380,19832,35967,40945,8371
+,24514,12365,32128,22426,31054
+,12838,39123,44409,30274,7486
-,15506,0,0,0,0
-,11342,0,0,0,0
+,33348,28735,30483,12941,39659
+,217,48022,4472,27411,4346
+,36073,39406,8580,20559,36323
+,1849,44966,1558,13482,15416
+,20770,21852,35599,7189,36238
-,10146,0,0,0,0
-,12838,0,0,0,0
-,17837,0,0,0,0
+,21664,29291,7110,24510,6647
-,29106,0,0,0,0
+,31948,7308,2045,48337,12648
+,25822,2312,12676,18788,9761
+,23517,32171,15072,46399,16652
+,13865,20368,38309,6923,47321
+,30727,39275,38617,3146,46903
-,10143,0,0,0,0
+,45992,37413,5873,39606,37317
-,27168,0,0,0,0
+,32093,12454,3896,9393,41358
+,1802,9721,27723,3899,23502
-,11262,0,0,0,0
-,5168,0,0,0,0
+,28700,2454,30447,47205,38750
+,22233,11736,32816,12604,28309
-,11566,0,0,0,0
-,33603,0,0,0,0
+,9971,1420,30576,43777,18040
+,43392,6971,1305,44440,5760
+,48063,39291,7709,42148,280
+,10310,4066,29746,107,47184
-,18264,0,0,0,0
+,29789,42567,32604,25362,42815
+,38611,2035,12231,19257,19785
-,11416,0,0,0,0
-,3623,0,0,0,0
+,39714,12406,10596,6441,28933
-,22297,0,0,0,0
-,13952,0,0,0,0
-,9269,0,0,0,0
-,34658,0,0,0,0
-,14835,0,0,0,0
+,38805,7199,31855,21490,7154
-,24822,0,0,0,0
-,12345,0,0,0,0
-,5377,0,0,0,0
-,19826,0,0,0,0
+,22118,49087,826,34132,38821
+,31592,36687,45337,13426,22749
+,7769,37217,31559,46011,14059
-,22847,0,0,0,0
+,34333,20941,25255,49495,24685
-,8810,0,0,0,0
+,24179,26920,16452,18659,13125
+,6729,27608,27120,41618,16251
+,190,32187,20457,38096,46199
-,108,0,0,0,0
+,10526,16381,37678,25854,38973
+,14316,27159,10459,15084,3369
+,36762,38462,37416,26990,48124
+,40950,26424,2446,4645,14346
+,9130,30838,17915,46358,12349
+,8039,4854,36284,2854,39331
+,4650,45872,1077,12263,47953
+,341,19511,2294,20939,4773
-,4117,0,0,0,0
+,35803,25011,22729,45333,29403
+,14822,16254,30962,30675,18950
+,25261,12906,22149,45124,25871
+,1639,13072,24648,15435,5473
-,23973,0,0,0,0
+,16009,49959,49804,46901,17671
+,33102,41445,37023,21235,25528
+,8108,4486,30584,49697,31630
+,22905,11328,35128,32507,13567
+,1626,8682,19485,26743,27899
-,33478,0,0,0,0
-,8391,0,0,0,0
+,46345,10969,46540,3242,20832
+,27773,32063,12638,12251,16015
-,12311,0,0,0,0
+,27542,872,42149,13094,10540
-,2677,0,0,0,0
-,11158,0,0,0,0
+,32495,6303,13670,827,15145
+,41373,30681,20009,17748,39282
-,14802,0,0,0,0
-,6168,0,0,0,0
-,13423,0,0,0,0
+,4807,10455,1447,9498,43812
+,30971,38390,44860,25027,20358
+,2769,44811,14042,5794,21999
+,27876,1264,45653,31340,44314
+,8816,43414,9733,26078,47973
+,49298,36677,2523,30191,32433
-,11029,0,0,0,0
+,44755,48710,12016,33637,34562
-,21808,0,0,0,0
+,37988,39147,5120,30231,30169
+,30873,32750,7781,42956,20179
-,27442,0,0,0,0
+,21597,33078,35944,354,36607
+,48396,17450,19965,2343,10777
+,19407,27870,49746,46737,44895
+,41136,9950,42369,46652,19538
+,36434,5797,4856,27657,36376
-,1102,0,0,0,0
-,17516,0,0,0,0
+,45769,21400,21912,36174,26352
+,48983,14305,21114,15248,11921
-,13499,0,0,0,0
-,5446,0,0,0,0
-,13165,0,0,0,0
+,48484,1197,38087,15857,28497
-,25609,0,0,0,0
+,22970,34204,7898,34690,21920
-,937,0,0,0,0
-,10353,0,0,0,0
+,10467,22800,39049,37971,25261
-,3682,0,0,0,0
-,3040,0,0,0,0
-,5744,0,0,0,0
+,47209,13886,14861,23769,25695
-,20100,0,0,0,0
+,3269,45271,37471,29996,12532
+,42267,30955,9235,533,27150
+,4469,7940,35254,8390,7315
-,6424,0,0,0,0
+,18641,40027,35987,47663,49280
+,23435,18130,19401,46192,35273
-,30248,0,0,0,0
-,13848,0,0,0,0
+,1654,46064,4709,18008,41773
-,18910,0,0,0,0
+,19203,30864,10094,26064,5612
+,22560,3504,20241,33645,760
-,14885,0,0,0,0
+,38562,4301,8872,17296,31048
+,49307,8354,42980,2959,48011
-,14633,0,0,0,0
+,5684,24074,14134,41873,38775
+,35257,47520,6323,3485,12999
-,8706,0,0,0,0
+,41780,32288,17410,16492,10981
+,742,1404,20456,12580,45076
+,30988,28213,22365,7026,21808
