OP,A1,A2,A3,A4,A5
+,43050,5740,37026,48203,32787
+,39988,8056,2958,8900,37637
+,5098,7935,12187,37905,46510
+,344,4128,19237,43375,32180
+,31040,37111,33368,3191,11230
+,14398,7077,46324,42942,2130
+,34553,5377,35234,986,23621
+,42187,6967,4950,2026,25030
+,36066,26872,46797,17463,31440
+,25944,42126,36774,45322,16685
+,6863,15189,12304,10395,7018
+,28463,17803,17981,49938,3365
+,48033,11334,47313,47873,6908
+,7584,43293,1885,29660,25513
+,17322,22702,11838,29113,3545
+,12654,40429,618,15022,23785
+,26717,6776,876,5910,91
+,2566,23042,12082,16495,35290
-,1473,0,0,0,0
+,24342,5615,27842,2847,12631
+,45472,23842,38053,37728,11692
+,30918,7718,29982,11369,32082
+,42268,12271,49390,48307,28527
+,1833,44064,42679,28182,6493
+,1200,18869,40549,590,33122
+,21520,8313,42520,30454,3155
+,34577,18593,13079,49974,18328
+,46539,45551,9079,4460,27498
+,3094,39111,5571,34823,3923
+,19877,47706,33208,47171,38440
+,20880,37935,37332,17629,4840
+,9957,45821,22981,11717,36950
+,31315,14946,13912,1003,32128
+,43748,39755,15918,40842,732
+,15855,17948,14875,9011,30204
+,45997,43456,28120,19072,8793
+,31102,43051,35736,48067,27095
+,42203,11522,25805,16432,8604
+,8345,4550,4571,35015,13600
-,518,0,0,0,0
+,31872,33282,28694,36953,8943
+,11549,21687,14602,43692,36852
+,40862,33471,29706,4592,12938
+,13880,995,4875,48202,30451
+,44797,27722,45994,34974,11363
+,2544,38395,49176,556,5403
+,32708,21984,21819,16982,34961
+,2805,45834,21541,22251,34431
+,46950,48287,24130,28919,9527
-,5679,0,0,0,0
+,25157,7428,36679,21334,11238
+,37509,3095,4169,45708,40852
+,33746,15529,696,26040,13092
+,11554,10548,44284,17808,33138
+,40818,17801,10358,34508,27482
+,37495,48538,17393,28094,14116
+,18718,12971,18623,33590,3813
+,13957,33491,11892,23601,6478
+,45683,372,10301,24957,19180
+,47852,40280,24559,15441,9196
+,7197,3084,29191,45043,35692
+,871,45116,24614,44247,18760
+,34450,19170,28688,3415,38049
+,24796,42788,10394,12507,24103
+,20558,39945,25769,4032,26086
+,31854,30971,32819,19171,39937
+,47080,17681,14446,36783,1698
+,2336,6073,33005,17955,19319
+,46232,24145,66,25491,5883
+,11779,45168,3831,35145,42992
+,31056,25659,38230,2831,41974
+,11292,29648,15376,21819,35808
-,3008,0,0,0,0
+,38249,33635,26601,159,43895
+,47279,24893,31801,46454,6927
+,33988,36077,6592,23339,27852
+,14540,17716,22357,41340,2489
-,6064,0,0,0,0
+,16129,10665,11974,26593,19176
+,48951,24123,11839,7464,37694
+,11585,18250,42992,9847,1840
+,18961,30710,41075,43717,5457
+,43309,32748,32297,37477,14766
+,28859,3408,21001,48385,7972
+,22145,12610,16380,37746,21562
+,24291,32248,21752,10220,37263
+,38205,33229,21757,24043,10241
+,1075,32983,33235,32463,22841
+,29153,5020,2389,46647,32145
+,7152,8690,5935,43598,48570
+,7756,37826,43574,7308,49341
+,7703,33523,18495,8198,30719
+,19931,45144,19862,34235,17546
-,3315,0,0,0,0
+,18693,26239,5989,48111,45419
+,27247,25274,31180,45406,4146
+,298,29316,266,46559,5912
+,7629,39118,25410,28490,10449
+,24383,39635,47506,8458,3113
+,26066,17108,32289,40396,5452
+,23608,20205,5495,17155,192
+,3881,47582,24459,11992,17267
+,45345,7931,36485,12644,9440
+,47829,39649,45927,27220,5479
+,5672,16421,18902,32244,35123
-,2544,0,0,0,0
+,2822,7090,2235,19847,31842
+,11785,8460,37365,17340,8782
+,39430,4964,15491,4990,36463
+,41996,43739,12599,44640,10979
+,45936,91,39361,27299,9343
+,25675,10561,13461,19846,27686
+,1410,3300,30330,43301,17660
+,1125,6182,8620,8158,11949
+,28053,3116,28301,44478,259
-,352,0,0,0,0
+,33210,41246,18788,44781,40226
+,22264,11759,18323,26379,19979
+,29100,3894,40520,17172,39451
-,4779,0,0,0,0
-,3840,0,0,0,0
+,35055,15283,23387,28464,8517
+,46467,2725,45175,8323,22858
+,8206,20372,21577,25588,9239
+,26432,20985,27035,45858,21312
+,14710,49427,6357,3309,41416
+,21715,41175,38532,18745,40226
+,5252,12319,41624,30980,7432
+,6821,42345,38125,8697,3420
-,5945,0,0,0,0
+,18749,9714,3366,42930,14279
+,48076,3555,36422,39249,38361
-,6628,0,0,0,0
+,16997,44016,7403,25273,8507
-,4008,0,0,0,0
+,43242,45076,39650,26939,26151
+,2765,21026,285,19542,49453
+,7657,47647,12034,21638,10059
-,3118,0,0,0,0
+,32218,32467,22311,20766,37115
+,11408,23562,13316,49730,16284
+,24074,48471,32348,8980,4250
+,46942,43707,14134,22515,14394
+,24732,7585,33817,35470,41798
+,33058,16304,27829,8271,23457
+,2675,27032,24616,23653,34451
+,34036,11443,31023,49251,38370
+,15333,45391,1313,40645,6626
+,26553,33357,19082,24678,12860
+,41900,26057,32524,1646,27565
+,32139,33863,7029,30327,23712
+,35476,33855,25336,15140,3256
+,14409,28670,21893,45327,335
+,16548,41390,44607,26053,45484
+,14933,23274,39296,19434,24618
-,4743,0,0,0,0
+,6513,13548,2242,18034,12595
+,46504,6118,35113,960,26413
+,10569,5179,29410,8761,36411
+,4873,15967,6613,27473,37834
+,28002,22865,20885,40185,18071
-,8772,0,0,0,0
+,13712,2081,32176,19754,7012
+,13300,33312,916,15294,36191
+,24876,48433,43185,10440,10996
-,8972,0,0,0,0
+,28586,44625,39433,38432,44639
-,321,0,0,0,0
+,23410,37583,42196,35204,18557
+,2869,23387,6184,35620,5896
+,47484,37936,24107,22154,9496
+,21654,32349,3253,42971,17613
+,4391,24412,14488,18417,34797
+,1593,15124,24372,35367,30577
+,13554,35702,44287,3835,37951
+,27948,24501,3485,7664,40615
+,26789,48674,41900,5981,32897
+,45163,48956,35568,2578,46965
+,26925,5102,29337,9356,46363
-,1258,0,0,0,0
+,20003,4155,49278,9482,20641
+,38466,15385,45753,26066,32564
-,9816,0,0,0,0
+,6505,35471,12881,45792,49576
+,4380,43572,35418,43771,49618
+,14963,47820,6751,24801,7903
+,23993,41428,45794,38156,45896
+,28251,43089,14374,21618,26718
+,28851,16890,25438,26653,1286
+,40022,35789,29566,38315,30509
-,8607,0,0,0,0
+,17872,11445,49130,22705,38867
-,8384,0,0,0,0
+,18639,17820,5217,6350,42271
+,34665,43070,24334,40697,20224
-,5943,0,0,0,0
+,1990,23611,32956,5942,2257
+,49569,44718,21068,24481,41019
+,3646,4430,47074,4526,8373
+,6994,39801,23350,46422,29115
+,20975,18187,29313,1191,32299
-,8497,0,0,0,0
+,16982,31221,31692,9377,11529
+,41661,21702,2464,4301,1460
+,49125,13542,523,32448,6808
+,679,29302,22769,15692,40930
+,35856,25568,42037,20266,37127
+,20346,1985,16729,43294,32248
+,19883,40492,14173,31766,9571
+,22610,45078,32929,23932,36314
+,10636,3955,29399,22816,17956
+,11833,14599,42061,2690,4968
+,36712,36626,27823,8960,19935
-,8073,0,0,0,0
-,8440,0,0,0,0
+,42731,30683,19055,32401,3196
+,42539,14043,5092,9391,8785
+,8970,40827,31016,20218,4396
-,8531,0,0,0,0
-,3092,0,0,0,0
-,2964,0,0,0,0
+,35424,8426,23218,44198,1072
-,2154,0,0,0,0
+,47123,21522,44621,24017,13394
+,5481,46129,40688,30776,2248
-,4439,0,0,0,0
+,32575,31788,8758,3464,15484
+,33981,10377,23449,40380,34556
+,2793,29943,47035,13380,43214
-,2483,0,0,0,0
+,43060,21045,41440,39604,34408
+,17001,47336,41177,12157,24746
+,6531,20807,31889,35875,15859
-,9129,0,0,0,0
+,40548,33045,15858,35445,32875
+,27759,4933,4433,12174,10078
+,36687,2422,48340,36454,45411
+,24947,22410,47667,31858,24701
+,4289,28130,49566,40125,24436
+,44022,48330,10855,18092,3035
+,27136,26395,42040,19953,47935
+,18181,34101,8863,9070,34105
+,22573,34954,33169,32303,31862
-,7772,0,0,0,0
+,36018,2817,3033,1259,26971
+,19813,16895,23644,27844,28940
+,11370,29130,23657,29977,39458
+,14594,49749,4076,25876,27164
+,19037,6949,29517,38492,12727
+,2752,20554,30329,9790,95
+,39794,37557,34829,26932,9287
+,42938,47393,44993,15718,9115
+,35418,32816,31920,5604,34579
+,23565,42955,16773,28947,10552
+,35915,8613,47938,47551,32008
+,10697,40934,41740,33217,34289
+,46017,38848,44003,39899,22948
+,25337,8784,46729,2431,38429
+,13284,27792,42579,22560,15536
+,47715,1499,42286,14156,13700
-,6571,0,0,0,0
+,21029,37814,40673,4086,6026
-,6659,0,0,0,0
+,4007,25441,31253,11834,8978
+,30935,15484,23761,42209,22225
-,5611,0,0,0,0
+,30522,26205,47841,31231,39
-,3145,0,0,0,0
-,9359,0,0,0,0
+,6399,31266,19000,2187,24227
+,35970,5564,6144,27020,2547
-,5510,0,0,0,0
+,28691,15307,17772,23794,12806
+,17376,45689,33140,38181,45695
+,6548,49424,2343,23820,22582
+,404,17286,23517,24597,41512
+,7577,31615,36301,17640,35157
+,49876,3685,2825,40395,18759
+,38574,33910,9101,32491,9139
+,2688,1015,41353,38160,13530
+,8030,36622,35262,18938,22657
+,46243,2818,38088,38698,30172
+,43172,37473,15462,16790,17944
+,8286,48862,16268,14834,46499
+,13459,46546,34642,19739,15492
+,13800,48733,9162,48776,36260
+,22290,3299,26678,32383,7364
+,37949,46354,33899,474,24165
+,29417,8727,2669,2516,9335
+,33154,14639,28393,41127,22220
+,37687,12009,20660,2373,30960
+,49491,656,17122,44153,2962
+,30499,29877,46799,41235,38821
+,47874,49784,46978,18165,13356
+,11196,23437,43112,49776,22315
+,10072,48482,28139,44488,49818
-,3126,0,0,0,0
-,222,0,0,0,0
-,6886,0,0,0,0
+,14872,1968,4264,4291,40929
+,20109,48105,48600,1528,1849
+,401,42450,5769,6746,28067
+,29486,6233,47901,38124,48166
+,14673,36065,42846,19997,29651
+,29156,17794,17468,2472,2164
+,10171,3632,28562,26591,3560
-,2100,0,0,0,0
+,24077,18553,49457,9453,35682
+,44911,44896,20500,12054,48027
+,29648,7926,28099,39785,28371
+,10279,9313,34113,17296,1462
-,7122,0,0,0,0
+,31148,21646,14185,25991,28380
+,28097,13771,1072,23129,40478
+,9446,11208,42222,12789,44723
+,26929,23830,33596,14311,49825
+,33757,42025,36509,30151,891
+,34212,3640,16336,24001,7478
+,10538,24578,24414,19118,31890
+,33046,7062,44755,9085,16531
+,40727,14705,38534,26313,48358
-,164,0,0,0,0
+,16117,4511,38875,42560,18210
+,10809,12693,9005,10721,45564
+,47001,36217,3923,6339,36707
+,47809,46901,24157,46078,45971
+,15889,22769,8710,4746,22080
+,47182,45097,201,39541,32478
+,17978,9396,10770,37076,16690
+,12536,3299,2894,34496,43992
+,37873,24873,31946,40150,12796
+,13317,9675,10247,23253,7185
+,702,38588,27216,19614,14295
+,8148,1975,15470,3908,30488
+,9863,39363,11318,30126,47659
+,25056,37530,40437,49831,36418
+,30930,40812,2459,14710,45427
+,24150,24283,36579,18485,24957
+,23570,15450,46809,47162,39518
+,8319,26897,44822,28120,11208
+,3095,9134,40963,6256,20231
+,35695,29004,35445,14693,49817
+,38698,19065,46340,36202,10873
+,6939,6562,28670,13827,24287
+,29124,49344,42057,43247,7304
+,41703,32865,46719,33879,26190
+,16260,29837,41664,32256,41665
-,3725,0,0,0,0
-,4054,0,0,0,0
+,40697,2651,28711,39435,708
-,1646,0,0,0,0
+,14565,46154,42522,40810,5402
-,7411,0,0,0,0
-,5969,0,0,0,0
+,47382,39945,42922,10542,24527
-,3146,0,0,0,0
+,30238,37549,42119,29852,39074
+,44410,7279,24344,40904,37271
+,36135,43129,43742,24121,11102
+,46654,21985,1744,20929,17898
+,27881,48101,31139,458,27721
+,2838,41822,6288,33914,42276
+,33726,37440,42548,19409,42366
+,37470,41717,17133,30937,34416
+,23159,11301,34033,27403,42545
+,30985,7770,37533,3766,41842
+,26604,23734,12546,13031,34106
+,6366,13004,5635,8069,7874
+,8862,20737,13983,45687,46975
+,34345,7186,24653,45674,14187
+,45224,47949,21791,13292,39917
+,25291,46660,23105,23307,41415
+,29336,40434,40344,18409,23549
-,2582,0,0,0,0
-,7523,0,0,0,0
-,4943,0,0,0,0
+,43621,7574,33409,12034,3776
+,16432,23191,38486,17056,43285
-,6450,0,0,0,0
+,9443,10490,19721,46850,27603
+,47698,25828,609,31420,7117
+,29399,19738,33530,12384,11387
+,9590,19625,49809,13165,43206
+,14920,36771,12095,17862,4197
-,7074,0,0,0,0
+,43355,45020,34033,15051,41504
-,3634,0,0,0,0
-,3601,0,0,0,0
+,27546,33030,13346,48113,7855
+,2178,8706,49776,16227,18000
+,25020,5894,34566,12858,46704
-,5133,0,0,0,0
+,37851,23865,1043,30024,29463
+,29147,43322,49254,11558,38947
+,15406,32978,2291,17558,15097
+,26894,17385,48464,30777,23350
+,42795,3338,33784,32055,18331
+,362,6510,32256,15195,1634
+,37019,21934,21754,3284,24286
+,25910,38213,16573,49175,2880
+,506,45719,5027,19567,47604
-,3522,0,0,0,0
+,40573,19422,4484,34617,47562
+,26768,36011,31076,22608,21193
+,4526,6042,23701,31227,13294
+,48544,30573,2074,49866,6797
+,44337,19926,46290,11687,4375
+,14016,32270,37253,25962,35428
+,661,25566,21251,34484,49276
+,32036,14845,45459,36389,39075
+,15088,45790,30054,22706,3659
+,12318,30902,18373,32573,11414
-,9231,0,0,0,0
+,22647,38445,36817,26053,40732
+,33203,5209,35331,25872,12728
+,11674,18172,16116,46856,1074
+,11748,41072,1433,20938,20924
-,8870,0,0,0,0
+,48382,24790,29891,31673,48861
+,36352,7609,39907,14860,12051
+,19811,17946,26679,31982,9311
+,6579,8100,13875,16050,7488
+,27286,23229,10411,22938,39539
+,12096,38133,40871,13824,18939
+,40455,29239,48850,20097,6914
+,32356,35781,12330,6951,48188
+,21931,10824,15939,38491,22924
+,16320,46516,48926,29244,4676
+,9011,17872,32782,13691,21337
+,25303,41358,4785,44901,45721
+,20730,44401,9555,4111,17782
+,2796,49907,9093,21911,40464
+,31160,8273,10050,26673,5838
-,7041,0,0,0,0
+,29428,14766,10090,37083,44762
+,13899,41437,19889,7501,28263
+,34923,31871,34768,8708,1376
+,13779,7349,38901,33994,47466
+,1022,26510,19323,13086,1162
+,16485,22093,47878,29533,18227
-,3205,0,0,0,0
+,13147,34522,29379,49321,27706
+,30164,25162,24268,28024,32745
+,45695,25493,10488,17237,32633
+,43396,46273,40792,29186,22700
+,35630,39842,6986,11037,4376
-,1486,0,0,0,0
+,16685,31566,15903,14877,44033
+,44979,11886,48834,26830,43941
+,44120,43525,29619,22425,33708
+,49149,45758,41448,3604,33443
+,47064,16610,2730,5202,31398
+,43847,39137,28729,547,45167
+,35732,44871,7477,19660,128
-,2734,0,0,0,0
+,432,30323,26056,49456,33734
-,7731,0,0,0,0
+,22640,9831,2249,40818,15846
+,16702,71,43903,2021,558
+,37192,32254,39544,9879,39597
+,10005,29203,43982,37351,39009
+,16868,13867,4471,5029,8088
+,46183,11630,23566,22672,47812
+,34430,41962,15842,27902,9657
+,5323,6906,16296,10705,39889
+,36827,23909,18614,8057,9196
-,5895,0,0,0,0
+,42949,15102,29606,7509,42558
+,49861,20971,39227,12278,16624
+,4253,17667,35359,41991,3193
+,25669,45774,31131,23801,21097
+,4536,49876,42242,16377,41386
+,49082,31007,29096,36450,40982
+,12273,7178,16430,9265,3742
+,46587,29953,43943,40748,41411
+,8614,11684,49966,25748,31817
+,35654,21549,13872,4717,47546
+,9361,47496,39930,15018,25956
+,5976,38700,48523,15631,40341
-,2926,0,0,0,0
-,9683,0,0,0,0
+,11003,16264,46759,44285,9733
+,25490,14157,40848,34785,21732
-,6620,0,0,0,0
+,46595,46032,49610,48341,21722
+,44875,13714,2625,6410,31880
-,3997,0,0,0,0
+,46128,41960,33881,9473,45743
+,26782,48134,25138,29245,32082
+,4079,9715,37848,25391,41957
+,38106,30104,29006,33462,39375
+,44991,17525,34105,23909,40636
-,8433,0,0,0,0
+,18586,6993,8171,8317,17472
+,41293,25945,10736,24320,9672
+,41432,5507,1242,23895,364
+,20699,21566,42240,6120,3684
+,40375,46978,46628,34462,26612
-,9222,0,0,0,0
+,12904,16907,3532,15376,10694
+,12372,49110,24098,5850,23529
+,46446,19776,20878,12314,33559
+,39951,25000,2181,8911,35130
+,26442,6794,39814,48545,44205
+,25777,19385,39460,42698,46212
+,9411,27273,31415,29232,18788
+,34394,13941,38816,34435,45033
+,5388,39797,30410,216,26171
+,47110,2771,28926,7724,21864
+,44267,25066,14957,4801,20818
+,2172,3130,18779,37884,8396
+,22834,39310,38360,8286,8600
+,41740,7475,34148,1657,6243
-,4715,0,0,0,0
-,4088,0,0,0,0
+,30790,49437,25318,3384,35117
+,9329,24046,6614,33924,25168
+,14972,44043,41177,38034,16920
+,36606,14860,43091,8468,35939
+,15894,16458,37862,36292,30385
+,1580,47801,39843,29662,21142
+,548,26770,38828,37373,41623
+,22029,7360,27665,23912,44899
+,18041,36529,22254,46033,18982
+,47193,24451,12770,14259,7028
+,24921,46737,48590,30979,16306
+,25338,9086,46893,43974,36696
-,4489,0,0,0,0
+,29694,2743,37239,47112,42179
+,7432,33850,24799,25762,11444
+,8567,42396,26339,34240,20975
+,42212,26407,36382,8085,33839
-,7658,0,0,0,0
-,6834,0,0,0,0
+,10920,5510,13564,10466,2530
+,24140,30958,30242,17006,39418
+,40854,47020,15160,46146,33898
+,36111,15597,3780,24327,49308
+,96,13918,5451,16655,41107
+,30483,29710,32683,11996,1477
+,39205,40100,3302,12467,34621
+,38638,30383,47334,43093,9254
+,18133,11318,18875,16001,26983
+,36585,5449,20955,47902,45844
-,72,0,0,0,0
+,10157,12763,5236,15619,14261
+,14688,1358,30662,24566,41915
+,24427,41149,19046,13104,18232
+,40638,20523,28662,46384,22991
-,3847,0,0,0,0
-,8953,0,0,0,0
-,8545,0,0,0,0
+,7303,46913,24224,4712,7230
+,39424,33643,8332,1939,45343
+,15353,15212,10319,26673,29749
+,20153,27659,7296,14659,17716
+,33436,44021,24112,48798,3869
+,21579,43484,14054,684,8118
+,17619,46436,32030,21307,10664
+,40852,44012,43514,8290,44039
+,47690,35002,7957,49328,16444
+,2715,14793,9827,42062,4375
+,43751,8022,35398,40941,17131
+,44823,30759,10257,45829,23537
+,25289,31452,48834,33079,22681
+,24713,17662,17421,14924,15252
+,20590,823,11259,2331,15555
+,36590,36612,31168,19890,8118
-,2187,0,0,0,0
+,34350,769,44618,26527,1932
+,10581,11779,5844,13502,42265
+,33132,15443,16361,2234,27778
+,388,33918,25489,6097,29773
-,6421,0,0,0,0
+,30046,33649,6939,12812,48845
-,5287,0,0,0,0
-,5199,0,0,0,0
+,42778,13056,23837,5996,35966
+,3337,46495,46492,35680,39822
+,5813,265,4972,10093,27913
+,26785,12517,49775,18506,7809
+,36711,1111,17131,17260,36461
+,2589,15299,17208,19066,17396
+,7386,14768,24349,42533,490
+,40575,15159,44933,28205,21180
-,2075,0,0,0,0
-,6267,0,0,0,0
-,819,0,0,0,0
+,32664,8399,37375,34654,49627
+,33238,4569,11923,14745,6081
+,9014,38577,47425,33508,41722
-,9045,0,0,0,0
+,38199,46687,46588,10538,11526
+,39196,35854,33091,2478,22182
+,39310,3510,31165,26651,23309
+,11355,32492,11201,31993,11636
+,39942,12043,11295,48136,14231
+,46636,33127,24662,19739,35603
+,39455,31488,35007,19223,12222
-,8521,0,0,0,0
+,20423,12606,27392,49065,3892
+,24977,1765,35420,38620,13802
-,2855,0,0,0,0
-,2980,0,0,0,0
+,8934,19478,1948,11176,43421
+,42120,15687,29386,13472,43653
+,39400,22511,9811,42047,31615
+,38280,36824,32508,38202,8100
-,8717,0,0,0,0
-,674,0,0,0,0
+,8886,1424,39700,36886,39617
+,11567,38185,7350,36227,42609
+,38456,12844,3718,7636,24643
+,29782,1548,13438,42637,43803
+,267,38965,22896,14670,48511
+,43582,29870,13416,21663,30475
-,1965,0,0,0,0
-,8059,0,0,0,0
+,14413,16560,18612,16876,49041
+,45243,49541,12674,37106,10114
+,1015,36125,15501,26105,31797
+,10897,4471,46593,41394,18108
-,43,0,0,0,0
+,39157,35495,13173,29503,27537
+,44497,41172,31825,29904,9335
+,22869,25181,10025,14629,32403
+,16678,45122,8413,9560,2518
+,45261,37469,10998,46552,41607
+,38820,21313,4447,35532,46718
-,1546,0,0,0,0
+,44244,25877,6005,33021,34482
+,22609,46170,44792,12284,47527
+,45787,37948,25449,45663,13913
+,30161,11343,36215,40044,17036
-,7576,0,0,0,0
+,19836,47204,10168,30017,6776
+,37958,4868,34756,45677,10313
+,15157,43884,48977,45503,42308
+,34156,38635,28067,11606,34174
+,1134,20384,39876,44208,17570
+,10614,24866,46290,16209,13316
+,17641,1130,75,9151,43598
+,3185,40935,30382,13532,7683
+,37749,416,26189,1938,16668
+,30358,28092,43708,25641,8654
+,8011,45584,21496,8338,21605
+,45793,42062,18850,9505,12921
+,20626,26074,41363,2458,16414
+,14824,25312,41729,31260,16370
+,37033,16086,34374,43462,41879
-,323,0,0,0,0
+,35337,22714,15674,41591,25195
+,49752,34060,19092,47513,48689
+,48263,19440,7194,17417,47868
+,11686,9129,27960,45050,27919
+,49133,3610,48954,49326,29091
+,7270,46407,2520,34060,2962
+,9837,39461,20830,4454,25825
+,37092,11588,23407,27505,21146
+,4814,46642,47271,38765,42612
+,12959,46072,18087,22350,29918
+,30936,36750,41217,49202,3712
+,40415,15345,21891,8885,8910
+,40522,9575,35909,35962,25275
+,38451,30271,8019,44370,40669
+,28113,25625,37358,33352,39671
+,42754,25311,3634,30902,32694
+,16909,16396,38653,32869,42293
+,36465,4923,40186,39152,26974
+,16890,26656,20671,31509,20136
-,1732,0,0,0,0
+,41946,6017,28825,35167,38108
-,814,0,0,0,0
+,39138,31498,49449,1397,5782
+,8033,13442,28100,12963,47276
+,29819,18779,14922,19920,22318
+,19579,30597,46027,11803,5550
+,43490,32047,1664,11515,44104
+,47311,14330,43824,18621,36632
+,2169,45929,44767,6809,1143
+,29133,33417,20119,45530,36716
+,6234,2166,6380,10327,32325
+,43624,9834,30708,12282,37230
+,12922,30461,48183,39881,39310
+,35662,10298,19705,8516,37599
+,14073,4406,19662,37812,29693
+,3579,13782,11756,37052,40274
+,45079,6494,48566,181,33412
+,29057,9383,33474,23733,16402
+,278,36207,24885,13239,22834
+,16531,33156,36210,43914,574
+,10605,9136,44398,17133,19411
+,8902,38983,47688,17424,7635
+,45405,46184,35034,3983,9409
+,4970,47645,12513,4733,28152
+,26950,28339,33275,31009,11951
-,879,0,0,0,0
+,38656,39804,44328,6949,45457
+,46681,20583,47922,6785,5789
+,12468,49583,19329,12561,12950
+,34191,44905,3373,41685,49511
+,7336,27655,43956,28786,37850
+,16418,37380,2522,14860,4985
+,44537,3346,30863,41107,1313
+,40,33784,12930,31816,33993
+,4162,36974,36213,32547,40842
+,21584,42383,25214,23729,37254
+,30425,964,26690,45176,29756
-,8743,0,0,0,0
+,33450,36322,24801,22979,16670
+,31527,35143,45421,8473,40286
+,16222,8281,15573,22810,7174
-,6905,0,0,0,0
+,19251,42651,22671,45840,11466
-,9545,0,0,0,0
+,32454,17147,23625,38554,5460
+,35891,225,6038,26873,6373
+,24923,20519,6367,13562,8579
-,5131,0,0,0,0
+,22086,45616,26880,309,38231
+,49839,7264,22580,43211,25260
+,34625,18803,39013,4579,2299
-,8295,0,0,0,0
+,7774,12580,12472,3189,1687
+,23334,38773,26000,29716,16607
+,25247,26092,37456,16473,28734
+,3726,11129,1108,29354,19871
+,31128,13496,16221,31787,5124
-,1008,0,0,0,0
+,49072,35867,31167,3137,31999
+,30888,30944,4987,30457,49823
+,1313,30648,7076,1666,29028
+,48194,18511,4436,36904,6466
-,334,0,0,0,0
+,43202,2964,47221,25740,8704
+,17474,41206,40219,32216,20831
+,19918,37503,37175,19236,42624
+,33393,46216,19180,7686,37755
+,48679,18481,2479,12799,24064
+,46632,9176,25925,18577,37025
+,7563,39608,36882,15134,37554
+,27417,20914,39163,36403,7363
+,36217,44184,48818,5546,9298
+,43537,20217,17885,30963,5926
+,194,32000,27721,22634,24600
-,8829,0,0,0,0
+,35818,39267,31881,29064,42621
+,12510,43088,8049,28522,39784
+,36970,30201,5972,6575,26879
+,1873,30124,45337,4558,16385
-,7754,0,0,0,0
+,24750,40472,15736,33027,23104
+,46755,44426,1772,13032,39711
+,18995,43222,11788,34981,1602
+,37062,33591,27541,14268,30193
-,874,0,0,0,0
+,31483,29485,42315,8347,44384
-,9610,0,0,0,0
-,9551,0,0,0,0
+,17657,48142,35240,40738,6535
+,10542,10966,22113,7999,20042
+,41385,42834,23013,45072,47661
+,17819,36199,4168,17030,7373
+,6182,21088,35814,49533,26602
+,13334,33655,27718,41776,1687
+,18107,11323,30877,42772,39261
+,48626,5815,1241,15415,31531
+,25676,31410,24970,9542,7278
+,15470,25280,38314,27451,34324
+,40236,3418,20862,45312,27804
+,7596,23415,43427,28664,48181
+,33779,35455,7435,7554,33596
-,1495,0,0,0,0
-,770,0,0,0,0
