OP,A1,A2,A3,A4,A5
+,17319,34425,13995,45006,40621
+,28825,6496,2449,12106,13719
+,29723,31430,15496,14750,1181
+,2360,45295,26643,32524,26995
+,42277,4113,14863,919,45916
+,1886,26632,27255,6373,19980
+,49265,12836,12221,33591,23059
+,19341,13139,46497,44619,265
+,4605,24551,4820,28397,9156
-,2016,0,0,0,0
-,8355,0,0,0,0
+,41713,25951,11089,16526,36769
-,11489,0,0,0,0
-,404,0,0,0,0
+,26787,47414,15442,12666,43800
+,39770,37627,7693,38145,14728
-,14785,0,0,0,0
-,6684,0,0,0,0
+,7314,49840,5030,3680,39900
+,39400,31356,43859,40382,9904
+,49846,10157,3011,24637,30871
+,2938,48574,24287,14881,3356
+,46612,3429,17254,41620,804
+,46638,27194,43094,10033,5812
+,44991,20460,35787,5446,43966
+,45306,20331,45060,5533,27508
+,12305,12520,46018,4026,37545
+,19133,20138,6475,355,18083
-,8331,0,0,0,0
+,11622,10463,41076,8296,29883
-,5310,0,0,0,0
+,12838,41563,13709,16641,11503
+,40347,6270,17934,40914,46062
-,11547,0,0,0,0
+,46239,24318,9529,8799,39896
-,15671,0,0,0,0
-,7266,0,0,0,0
+,3286,18464,21670,1793,22442
+,9541,41959,36323,38871,19129
+,48913,37928,47221,4549,19808
+,8500,7583,17638,39538,49297
-,1166,0,0,0,0
-,1326,0,0,0,0
+,48770,19427,22273,47817,38013
+,4153,3089,34690,5808,15217
+,779,45891,11782,47556,11503
+,46241,20640,26882,47819,41355
+,3474,40715,12339,4672,25490
-,12110,0,0,0,0
+,1688,15535,35735,10683,34254
+,4049,38828,7753,36869,859
-,5339,0,0,0,0
+,43195,7320,4995,37402,15590
-,3915,0,0,0,0
+,6409,11257,1890,39118,23605
+,16803,2526,46258,35496,23007
-,16701,0,0,0,0
+,45904,42747,34259,37584,38164
+,49764,45431,47883,21867,17745
+,20450,32492,3801,20158,49071
+,23086,18035,47669,34854,36767
-,2091,0,0,0,0
+,32373,44619,5846,17800,9205
+,38136,41433,49185,24578,6763
-,4699,0,0,0,0
+,29564,31309,48718,3233,49500
+,22024,18052,38011,43713,10966
+,31231,2775,48300,33806,9697
+,47843,37493,43926,16493,17964
+,4475,31477,19266,38425,35426
+,18297,1145,18398,3862,24971
+,27642,45248,21598,16941,15036
+,36409,38537,46863,32234,6013
+,37745,47388,9157,49246,11128
+,21166,47720,49714,21758,43031
+,15185,4803,20510,27367,35175
+,18895,39345,34352,33452,47591
+,14903,35592,12162,34244,32331
-,4434,0,0,0,0
+,37034,35383,39435,44944,47961
+,11811,15382,44689,37582,8232
+,25694,26455,17256,46851,28496
-,3562,0,0,0,0
-,3759,0,0,0,0
+,22861,17319,26510,10076,15662
-,19001,0,0,0,0
+,26728,45116,49250,38546,9870
+,5747,8673,9631,36345,37642
+,19274,8156,47622,11284,19088
+,45854,20603,44579,22919,40990
+,45799,10292,30941,34837,18656
+,35400,46070,45834,47285,29134
-,359,0,0,0,0
+,552,24606,1471,28887,44260
+,41483,26091,30046,15335,25820
+,29661,43999,32808,37677,21780
+,8416,5034,9069,26902,31052
+,41590,22219,26550,9187,14932
+,4581,20673,17075,8340,46175
+,38997,6747,35987,32814,21447
-,8639,0,0,0,0
-,14999,0,0,0,0
+,1019,38225,6583,13329,10691
+,6579,30265,23905,30826,32887
+,33986,25962,34788,40715,21365
-,15095,0,0,0,0
+,19041,32572,20423,34068,29834
+,21894,16031,34407,4570,39824
-,6128,0,0,0,0
+,24710,2060,40669,12568,30529
-,5063,0,0,0,0
-,8445,0,0,0,0
+,11520,47323,40011,12718,32425
-,7582,0,0,0,0
+,28903,3975,47534,15080,6122
+,31736,43010,26800,21567,21531
+,24194,49023,22014,31121,28246
+,9177,1900,7460,29244,22408
-,14611,0,0,0,0
+,2033,16425,34329,22700,8996
-,7738,0,0,0,0
-,11530,0,0,0,0
+,17207,21976,799,7752,49484
+,47122,8263,33536,48104,47450
-,19018,0,0,0,0
-,4838,0,0,0,0
+,23096,35621,7122,10739,32007
+,27145,6451,18987,35956,26673
+,20608,36632,33106,33523,9556
+,26069,35987,19858,27579,15116
-,2902,0,0,0,0
+,31904,41471,7929,26871,14207
+,38030,41798,33886,17697,3935
+,5980,43867,49437,38377,29182
+,41416,39206,15907,28903,16707
+,28480,41506,857,29490,18566
+,2050,8910,6057,39969,47229
+,1743,23761,46011,14502,46337
-,2203,0,0,0,0
-,803,0,0,0,0
+,25324,47771,45412,7292,36957
+,38447,34832,45107,32137,42215
+,6301,20531,16492,22728,21643
+,25221,37909,8126,21843,13110
-,19340,0,0,0,0
+,12162,36980,31169,2527,43414
+,30098,49483,26138,4746,37158
+,28184,40452,5634,41048,37300
+,19494,36876,920,17175,41972
-,15392,0,0,0,0
-,19890,0,0,0,0
+,4369,11095,35919,12367,33496
+,705,3493,43405,40983,34382
+,29093,23117,24443,380,24194
-,9064,0,0,0,0
+,45793,13977,35672,42400,4473
+,11972,17079,36471,38138,46334
+,2375,32107,47095,45162,49133
+,30687,25779,6114,22041,19274
+,43524,22108,19702,40096,10449
+,46684,10186,235,26050,4140
+,47793,13289,43111,13628,14557
+,41270,11006,37641,1944,33283
+,20325,4354,23439,28555,4792
+,21455,27720,46477,15426,10859
+,38133,28600,12994,3266,14018
+,43184,7841,8282,4697,23653
+,48416,24534,12555,5655,41785
-,11912,0,0,0,0
-,7334,0,0,0,0
+,15957,48756,20038,43929,18420
+,45236,17130,25758,7996,16275
+,14193,40663,1186,47700,28886
+,37346,39139,6679,14664,36661
+,21112,43572,26311,49292,39725
+,49921,16488,26107,47314,8149
+,6261,22238,16498,18418,21225
+,4035,21096,11953,46944,1041
-,1053,0,0,0,0
+,42055,17028,24436,17285,24183
+,46522,2051,44199,17742,41530
+,20344,26413,212,16662,25224
-,2816,0,0,0,0
+,39151,42494,23659,45465,28774
-,10832,0,0,0,0
+,24463,24388,39849,10375,18203
-,14263,0,0,0,0
+,13754,22108,21123,32604,34421
+,35679,34420,46417,5781,9190
+,3405,8748,28105,4951,46342
-,5830,0,0,0,0
-,14713,0,0,0,0
+,14779,13524,48384,29405,25520
+,42496,5278,27923,13716,17712
+,14587,28129,28584,28053,25526
+,27026,38172,11245,17999,20
+,14724,312,30336,44272,45030
+,27621,44647,31198,23864,48720
+,9205,40524,49814,41152,2927
+,40247,13203,6264,6197,5684
+,899,28280,14258,961,18205
+,11123,2095,7571,1421,3059
+,42709,13715,45057,23170,8774
+,1643,66,27441,3338,9125
+,39186,29386,10850,49410,44873
+,32445,3026,24909,25012,36903
+,25815,4911,45983,10656,40120
+,12240,42949,33295,46432,33748
+,2206,655,13355,3117,25395
+,24634,28956,38526,35556,18776
+,3630,3082,361,28996,559
+,25843,43185,14769,7644,8326
+,28696,47157,37820,1476,3963
+,10622,48013,12482,24707,29217
+,32842,3215,40704,34871,46854
+,17836,23969,11046,444,29464
+,12655,20249,15232,14177,2304
-,9275,0,0,0,0
-,9004,0,0,0,0
+,35259,27462,41760,41846,40203
+,27057,16523,20888,9147,578
-,12841,0,0,0,0
+,30676,3468,45001,21498,28107
+,18722,27244,10602,25622,19361
+,42351,8755,12981,31967,40914
+,21489,533,35923,25448,26761
+,41736,41511,41922,49340,34219
-,3154,0,0,0,0
+,49657,9695,14018,42930,43974
+,26160,26323,5402,46862,19891
+,42543,25828,43437,8355,2367
+,16599,15607,11977,47039,43843
+,22495,26040,7275,46453,2313
+,16080,13475,36606,16234,31591
+,10174,28557,15297,46374,28040
-,9968,0,0,0,0
-,1842,0,0,0,0
+,15283,4040,9554,20119,41126
+,7382,4579,34704,3709,40064
+,38584,40355,42952,7789,15115
-,18508,0,0,0,0
+,31291,31381,32079,3024,9210
+,7748,41265,45205,1749,31606
-,1238,0,0,0,0
+,9978,11915,25034,4014,7106
-,731,0,0,0,0
+,10111,37686,47239,3497,26850
-,7344,0,0,0,0
-,11824,0,0,0,0
+,17819,31086,189,44451,1487
+,46426,30686,27995,32823,1645
+,40504,20255,35585,49210,31954
-,10792,0,0,0,0
-,5953,0,0,0,0
+,35614,21979,36520,44321,25410
+,11011,35848,19334,3125,44159
-,7946,0,0,0,0
-,18834,0,0,0,0
-,29,0,0,0,0
+,47547,21433,7607,23667,20494
+,21566,43054,7914,22000,186
+,17043,10547,49090,4639,15605
-,10523,0,0,0,0
-,13392,0,0,0,0
+,48809,38340,31885,37660,9100
+,46086,26353,20978,2739,15728
+,5163,49887,40229,46975,5486
+,18774,8384,8225,35488,35010
-,3043,0,0,0,0
+,46499,40306,48615,31900,6177
+,42820,3646,23114,41743,35767
+,46174,39125,23216,36666,27588
+,7006,18083,37898,12849,41161
+,32221,5097,43851,5280,27022
+,45020,2794,21415,10814,92
-,13866,0,0,0,0
-,4565,0,0,0,0
+,23840,36688,3459,45718,9568
-,18658,0,0,0,0
+,44482,46698,20636,9805,1169
+,9035,2560,114,36771,2016
+,21163,28914,8493,43356,23596
-,3683,0,0,0,0
+,44365,23858,22877,36076,48006
-,8087,0,0,0,0
+,13147,48562,23706,20153,23771
+,45248,44476,5830,3975,12742
-,6041,0,0,0,0
-,6001,0,0,0,0
+,22630,35657,45690,4274,5031
-,14129,0,0,0,0
-,14098,0,0,0,0
-,8930,0,0,0,0
+,40910,47592,37330,16101,25435
-,2496,0,0,0,0
+,12185,10788,38558,1953,46291
+,48225,49481,15846,10299,48387
+,13634,35173,13878,38969,19473
+,39145,39091,32690,1464,18283
+,18308,45621,11018,14075,11653
+,49093,10380,34504,18424,30321
+,16346,25195,20455,26924,40098
-,18430,0,0,0,0
-,14923,0,0,0,0
+,19165,6098,26314,42036,19481
+,6748,27122,28676,3818,46846
+,43822,12794,21779,7247,4017
-,13663,0,0,0,0
+,9700,38570,25468,42205,3091
+,41217,44638,44674,47210,13481
-,19237,0,0,0,0
+,49544,41076,8123,15462,8192
+,28297,26448,6474,43529,7553
-,16680,0,0,0,0
+,24833,32954,24059,31342,12125
-,14218,0,0,0,0
+,45991,10065,39319,43021,27455
+,39952,2242,28170,49149,48415
+,14579,30936,7159,28355,8202
+,45374,3547,2932,43035,17032
+,11690,33071,28345,6666,759
+,29,4692,18010,27306,6330
+,29497,21496,37117,47661,48159
+,36540,19298,11042,28296,40323
+,12682,13304,37633,1364,2991
+,48997,5506,47341,4826,17956
-,602,0,0,0,0
-,16354,0,0,0,0
-,3983,0,0,0,0
-,13614,0,0,0,0
+,38766,15055,27114,12048,31274
+,33806,13911,32163,35183,38850
+,9504,11174,20072,4974,42191
+,31145,44723,36428,46140,23486
-,15526,0,0,0,0
+,3467,28449,7072,1752,26152
+,14748,43984,1027,4634,24409
+,9296,47499,10872,14598,5532
-,14393,0,0,0,0
+,11680,980,43155,5491,15611
+,49628,4109,4137,30928,1188
-,7247,0,0,0,0
-,1422,0,0,0,0
+,2268,39886,35294,48278,22851
+,33108,279,25619,13391,30445
-,17625,0,0,0,0
+,29008,32676,13654,45796,25898
-,16546,0,0,0,0
+,5222,11262,47015,8318,36057
+,46305,18175,38446,21045,21360
-,842,0,0,0,0
+,12784,20621,37970,13908,31147
-,13295,0,0,0,0
+,33275,38618,15956,41111,15524
+,19622,8872,15844,38692,8242
+,24690,3042,18720,5625,15199
+,31226,4340,46710,38878,41904
-,10849,0,0,0,0
+,18854,36205,37046,38406,43016
+,40367,14770,18835,31306,37225
+,33729,7072,7941,46487,26486
-,11697,0,0,0,0
-,4593,0,0,0,0
-,2619,0,0,0,0
-,4732,0,0,0,0
+,39946,26191,24628,10556,26321
-,8731,0,0,0,0
-,16003,0,0,0,0
+,30455,25118,43952,42433,9195
+,14039,48891,8788,44116,48923
+,14846,36115,33656,43158,48715
+,12241,13014,9251,8804,6408
-,9171,0,0,0,0
+,31488,2948,8969,28425,18171
+,8225,2283,7621,4930,28132
-,6413,0,0,0,0
+,29589,18512,572,2676,30631
-,7254,0,0,0,0
+,8903,9249,16762,39858,7812
+,10778,30336,37837,47165,26598
+,14862,1146,3451,42010,17449
+,17128,22902,9109,4930,31108
-,5662,0,0,0,0
-,1069,0,0,0,0
+,34767,344,39206,12015,40976
-,15398,0,0,0,0
-,14127,0,0,0,0
+,18692,36595,1400,44439,48440
+,30930,9081,5281,36871,48456
+,14254,14438,10173,21499,15645
+,45680,5328,32179,24914,1625
+,48803,20216,37714,46266,27465
-,7367,0,0,0,0
+,30397,7087,23904,12544,49846
+,17178,32110,49647,4596,41820
+,4224,17407,15010,47059,20559
-,8484,0,0,0,0
+,19534,15513,43855,18117,2455
+,30980,1434,26276,13061,11761
-,15553,0,0,0,0
+,37244,21434,4020,4552,22588
+,35391,34360,46865,34975,18409
-,7417,0,0,0,0
+,15018,29680,22578,46588,23496
-,7958,0,0,0,0
+,29486,12273,14256,34436,25292
+,2684,11823,45529,22218,9458
+,28635,39168,40344,32530,19418
+,28197,1214,29166,24978,20838
+,2157,38955,2190,38094,9502
+,45346,31377,6970,41102,25582
-,19043,0,0,0,0
+,34975,43823,23322,21497,19266
-,10463,0,0,0,0
+,21064,41599,6703,7399,20524
+,35494,11164,14411,12425,33806
-,15889,0,0,0,0
+,32999,31863,28390,25116,46289
-,8016,0,0,0,0
-,15941,0,0,0,0
-,6242,0,0,0,0
-,12821,0,0,0,0
+,47307,49785,3598,4511,45946
+,86,27660,20792,31720,35461
+,30008,9992,23209,18555,3988
+,12769,19282,9156,10530,18284
-,2216,0,0,0,0
+,13316,28909,8441,5430,43337
-,6102,0,0,0,0
-,17122,0,0,0,0
-,12017,0,0,0,0
+,36448,46082,13563,49207,42950
+,5781,47639,5324,18693,40104
+,10445,1611,40258,33304,13201
-,226,0,0,0,0
+,23778,15928,8520,25832,27987
-,2742,0,0,0,0
+,39223,37898,38289,10056,22663
-,824,0,0,0,0
+,3165,12832,2345,10246,19763
+,422,15751,39838,568,31394
-,3671,0,0,0,0
+,13561,37505,22877,9312,39035
+,18250,42885,38081,24130,45245
+,20961,4388,26073,11171,15178
-,5396,0,0,0,0
-,16990,0,0,0,0
-,14940,0,0,0,0
+,37781,16672,13577,18829,10330
+,38156,15099,31884,26226,10967
+,13706,26919,17833,26956,5417
+,30368,9337,42217,36053,5710
-,206,0,0,0,0
+,10189,36441,13920,41059,46773
+,18015,17093,22155,12557,43085
-,14757,0,0,0,0
+,18984,43022,6448,21610,36049
+,28650,11636,21050,7773,11789
+,24589,6900,40959,11255,22086
-,4449,0,0,0,0
-,8255,0,0,0,0
+,26089,16954,808,34707,18542
-,1219,0,0,0,0
+,8136,16129,27248,4695,33138
+,12213,32570,2498,47542,23969
-,17596,0,0,0,0
-,418,0,0,0,0
+,46939,3711,11404,20910,24878
+,4782,21295,10817,46382,27225
+,31438,23111,7326,10078,3295
+,11890,31458,28633,33459,41450
-,4421,0,0,0,0
+,41741,32033,5147,15911,5533
+,20109,17502,14895,17443,35397
+,43261,29509,5429,27636,44017
+,34226,37683,30931,39824,43756
+,11153,45645,39350,16250,923
+,5615,44358,27624,44172,42945
-,17067,0,0,0,0
-,17481,0,0,0,0
+,35860,2596,42531,44461,21360
-,13936,0,0,0,0
+,1313,45939,28220,26822,1280
-,1697,0,0,0,0
+,33227,18871,2196,16759,20219
+,1250,28931,15110,20423,23200
+,36023,40528,20833,29880,28200
+,29573,10876,41311,13698,25038
+,3814,6894,28002,49148,5594
+,26689,38632,21157,43518,40428
+,33723,48830,21819,1820,1925
+,17074,10145,23056,23544,2276
-,3132,0,0,0,0
-,9435,0,0,0,0
-,5115,0,0,0,0
-,15444,0,0,0,0
+,29287,3184,26846,11654,37330
+,41811,9828,9517,35008,44206
+,23653,9305,43539,39583,18854
+,11557,8543,18235,38841,37449
+,41596,38413,13777,27375,7419
-,18143,0,0,0,0
+,19244,43692,36115,22360,22503
+,27501,28215,15847,15233,31670
-,17779,0,0,0,0
-,7932,0,0,0,0
+,9045,24574,21821,30684,21625
+,44933,17675,2501,1444,2857
+,26978,15703,4497,48927,47018
+,42246,46600,4527,20394,13854
+,33785,49,34776,11823,5324
+,41430,28437,43904,32126,27652
+,48855,46062,29522,21122,42784
+,19729,25060,42135,7838,7628
+,46630,40013,25695,569,38197
+,47715,45291,23506,26691,38024
+,11682,25666,17645,43629,35806
+,2365,36389,12972,12967,22578
+,22632,12582,26959,26322,19829
+,14194,33523,41859,43020,39575
+,45510,3862,43632,4090,21521
-,1637,0,0,0,0
-,19136,0,0,0,0
-,12007,0,0,0,0
+,24656,45216,18321,27635,18525
+,17443,49690,23010,22750,46781
+,23008,34790,35702,48223,22256
+,15423,17664,47126,3539,33044
+,8513,23693,5853,38198,855
+,8843,38513,17300,12666,5615
+,22846,38057,46778,46814,5901
-,6585,0,0,0,0
-,7546,0,0,0,0
+,20336,47030,19999,45304,7993
+,24142,27646,24337,20412,47356
+,31783,32081,47627,35014,22851
-,2088,0,0,0,0
+,45683,43059,25344,47585,49138
-,15399,0,0,0,0
+,43601,28945,11353,6792,1497
-,13890,0,0,0,0
+,19627,47758,9286,41996,27604
+,2692,44624,1150,26043,2663
+,2417,49004,2024,22295,2501
-,7429,0,0,0,0
-,13038,0,0,0,0
+,41334,35456,14376,31508,35457
+,19821,39131,34056,48722,32278
-,11087,0,0,0,0
+,35535,13521,37413,19220,23553
+,42348,42906,37526,49660,8477
-,17755,0,0,0,0
+,34061,37892,47068,3329,39763
+,48231,5208,2862,48069,30362
+,22472,46488,27480,36621,41015
+,44590,8349,39960,9090,20771
-,17896,0,0,0,0
+,18288,30429,231,31845,46372
+,527,31333,10511,3605,28656
+,35605,26994,36122,2592,30711
-,10816,0,0,0,0
-,9327,0,0,0,0
-,1015,0,0,0,0
+,47192,5568,44290,32348,38723
+,46828,22244,47049,45051,30162
-,4221,0,0,0,0
+,4196,22090,1279,212,16179
+,82,3094,7407,30174,28040
-,923,0,0,0,0
-,10269,0,0,0,0
+,36807,10986,19629,31509,7248
+,41153,17689,20044,30984,2083
+,17746,4759,16743,19195,14068
-,6355,0,0,0,0
+,44981,23688,49117,1152,32073
+,17181,17802,21124,8580,33270
+,44271,19368,23693,37910,10875
+,47720,48643,19509,28764,33415
+,6022,35454,19223,19493,18687
-,16536,0,0,0,0
+,23644,14929,31107,31847,7495
-,11769,0,0,0,0
+,40660,29422,41375,48563,9010
-,19018,0,0,0,0
+,30108,8074,1659,10771,4342
+,36034,46045,14566,24073,33009
-,11910,0,0,0,0
-,19614,0,0,0,0
+,49934,12494,6505,45797,6284
+,35116,29956,15969,36516,43730
+,10069,27896,38267,19649,4549
+,19426,18103,31962,44924,24403
+,2985,39046,19266,24629,40031
+,48174,31784,21806,18303,4040
+,26649,19030,36229,32277,34490
+,27419,18177,28691,39020,42429
+,23890,47589,46756,40781,23890
+,43373,42444,1025,43960,39866
+,20232,37598,10683,28567,5435
+,24207,31301,48273,6327,31230
+,49370,3759,8409,27332,8420
-,10145,0,0,0,0
-,18714,0,0,0,0
+,8122,38425,3933,46939,33371
-,703,0,0,0,0
-,8272,0,0,0,0
+,32422,48234,34805,7647,42863
-,4919,0,0,0,0
+,40341,37490,43066,34229,44626
-,10292,0,0,0,0
-,15957,0,0,0,0
+,38783,46811,39676,48112,4858
-,9991,0,0,0,0
+,35357,7436,43865,20677,41485
+,28699,48527,43340,4560,37591
+,44961,37573,22323,149,30744
+,38343,39176,28746,25759,46165
+,45386,2217,39621,7259,47943
+,21006,41326,26858,46875,34708
+,35216,35961,25538,35634,49162
-,34,0,0,0,0
-,9848,0,0,0,0
+,32666,33904,21643,20760,6127
+,46316,25444,49966,36553,45534
+,544,42344,41727,32782,19479
+,46802,42360,32398,49816,18649
-,2016,0,0,0,0
+,24074,8498,38717,17090,7050
+,11355,44731,6517,26188,36051
+,48696,498,38804,47033,36074
-,7478,0,0,0,0
+,8781,10361,45706,38284,6423
+,10832,6261,49229,28706,26637
-,2175,0,0,0,0
-,12932,0,0,0,0
+,34199,3913,38151,11485,1906
+,40986,47713,8188,6259,25587
-,7049,0,0,0,0
+,38721,42422,24988,18924,19782
+,32279,1941,13486,44610,40090
+,34553,33074,41102,33422,9461
+,18632,24366,44755,32507,49192
-,3983,0,0,0,0
+,26056,12102,4222,46054,16051
+,17054,44823,3546,48543,18439
+,12348,36847,1553,46285,34330
-,14597,0,0,0,0
-,1857,0,0,0,0
+,28524,36620,41298,36080,3782
+,21101,39329,15202,29322,40134
+,18827,32441,25507,8757,46907
+,7427,16081,23175,8305,24425
-,12156,0,0,0,0
-,9687,0,0,0,0
+,15608,46352,25726,38342,18177
+,24946,33944,20492,35647,20940
-,10875,0,0,0,0
-,1601,0,0,0,0
+,9562,41130,41115,15864,47184
+,49503,21047,41351,13630,5155
+,28250,12628,33011,40239,19640
+,44581,18396,7675,44787,8232
+,28451,25380,25520,10255,11044
-,16124,0,0,0,0
-,18656,0,0,0,0
+,33175,39510,35380,45307,37872
+,9625,30714,36718,31380,46163
+,13951,24873,21082,48288,44633
-,18759,0,0,0,0
+,37943,21873,15207,10951,26343
+,5603,5427,2061,39005,25579
-,4341,0,0,0,0
+,38471,10764,28227,284,17671
+,1603,394,2080,44833,4437
-,10176,0,0,0,0
+,26792,1087,45877,20978,34157
+,9542,45815,33209,19688,3822
+,19806,10991,10423,15476,13932
+,9139,25848,11033,29238,29385
+,32557,24775,5400,2789,3753
+,18192,45653,38117,32619,43619
+,25184,45945,31376,38004,7267
+,35408,47096,44916,12644,3645
-,18183,0,0,0,0
-,14586,0,0,0,0
-,18573,0,0,0,0
+,49546,48352,24683,3522,33714
+,2286,44463,7134,6703,18817
+,25329,15282,20000,32118,17575
-,5108,0,0,0,0
+,8138,28783,17544,39806,44717
+,25719,9747,31241,17467,24693
+,3272,36359,31401,2200,626
+,43106,35158,19726,16833,14284
+,23099,15017,19951,3255,19170
+,11797,22595,49247,48420,25111
+,46723,31539,30176,42598,2755
+,38852,22470,2811,17915,38023
+,35809,14174,4673,22874,13619
-,7076,0,0,0,0
+,18824,34809,40944,14778,25181
+,21663,31468,16082,41549,15188
-,11629,0,0,0,0
+,27970,23739,4110,6788,6783
+,46364,2831,47609,28902,28753
-,19930,0,0,0,0
+,39554,11788,2247,33068,35292
+,8815,48805,19094,46307,9758
-,8235,0,0,0,0
+,30534,9773,24571,15455,15590
-,1605,0,0,0,0
+,48986,7179,32845,23913,13288
+,18212,19646,5646,46807,381
+,26286,46234,18060,47713,49935
-,7336,0,0,0,0
+,47534,2312,18038,28475,12883
+,32820,5061,29428,11125,48604
+,42296,47120,14968,29665,20447
+,39098,17630,30886,48872,18048
+,35939,45645,18894,35725,16905
-,10964,0,0,0,0
-,4626,0,0,0,0
-,12320,0,0,0,0
-,12867,0,0,0,0
-,5882,0,0,0,0
-,9731,0,0,0,0
+,42620,6178,9776,38977,32100
+,45644,19257,45938,34088,28317
+,28299,32176,15964,26251,9016
-,1106,0,0,0,0
+,37452,41140,21163,24002,36943
-,14904,0,0,0,0
-,11384,0,0,0,0
+,30274,41876,20601,15512,3990
+,47226,38871,1386,8237,46854
+,18562,22627,24659,1027,24338
-,13196,0,0,0,0
-,1565,0,0,0,0
+,28626,36323,31510,42462,42467
-,14930,0,0,0,0
-,16089,0,0,0,0
+,9252,49666,22731,40663,46915
+,31061,26029,29891,21534,17969
+,49982,1830,6691,28484,26751
+,37477,3458,6463,26219,9206
+,20359,2259,44530,41552,12590
+,45157,47529,8456,47961,4507
+,7766,18305,25932,38351,15935
-,12098,0,0,0,0
+,22936,14391,31060,16914,28170
-,15149,0,0,0,0
+,18464,44185,14820,1914,42148
+,12234,540,6331,22417,33451
+,6333,15785,16919,35047,10161
+,5741,7687,37820,39667,21666
-,5028,0,0,0,0
+,43477,21132,571,15883,32616
-,2593,0,0,0,0
+,13586,48831,7787,46120,37707
+,40354,37384,39719,16982,35015
+,17248,38523,38017,18906,44837
+,15860,35224,23483,40600,17896
+,13669,36954,24918,36573,21833
+,37314,1755,44010,9579,35883
+,25888,2276,37197,11743,33692
+,23950,21614,11986,33028,47620
+,9826,16315,44724,42544,28442
-,4311,0,0,0,0
+,22721,47104,10085,10086,16593
+,5388,17750,41836,14273,31917
+,28521,31568,34970,31310,31337
+,49112,37257,44392,31999,243
-,3828,0,0,0,0
-,7771,0,0,0,0
+,35173,44862,25905,27122,11574
+,46598,41662,33951,23413,19446
-,15898,0,0,0,0
+,40317,7795,1211,12611,40333
+,18299,46133,37997,16165,14066
+,36841,15750,30438,10355,28172
