OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7271,3912,8189,1459,7602,251,6519,6058,7223,2134
+,1973,305,8401,6532,9790,7498,7031,9530,8162,3780
+,6638,6575,794,7885,1698,4058,6839,7868,2116,6056
+,5506,113,6787,3850,1348,1663,4857,7914,2087,5916
-,407,0,0,0,0,0,0,0,0,0
+,1763,5909,5239,7046,2310,2483,1230,3085,1135,8001
+,1425,3642,4615,8991,318,6201,1099,6386,5230,4250
+,8285,955,2075,7660,601,3048,3278,7995,6512,1622
+,9963,8609,26,9827,1441,6605,6332,1175,8131,4512
+,1768,1348,779,8195,6283,6734,3691,3819,9440,1090
+,8206,8441,251,3377,1678,6133,3414,5380,3007,9332
+,1615,4538,6634,3941,2307,2047,9566,7365,6148,1613
+,4195,3153,3539,1667,2026,6586,5208,5539,5648,7131
+,3739,6051,6939,1638,2723,7746,2627,9830,5470,432
+,7956,2033,9940,3449,5223,644,5613,4753,2195,7526
+,5879,3915,5791,7031,4016,7757,9432,5307,8136,7262
-,905,0,0,0,0,0,0,0,0,0
+,3394,3683,6891,1448,3246,3336,6742,5,9171,5012
+,308,7449,2244,7806,5139,2103,4145,6903,8831,1986
+,4461,8515,9748,2333,2537,771,7986,6762,8847,2257
+,8736,847,6416,7859,5597,9147,465,6937,8606,4131
-,624,0,0,0,0,0,0,0,0,0
+,2235,8195,3965,9472,8432,8269,8565,6577,9932,3384
+,7959,5181,8348,1110,2622,4157,3151,4757,9292,8501
+,4848,8319,9767,1280,1750,5845,3945,3645,3734,119
+,9638,1619,7734,3005,9328,3498,3798,7386,231,5704
+,1780,809,3269,6126,8326,8416,6722,3053,3805,3342
+,5458,2411,7394,6066,5847,9582,2330,6770,2789,6535
+,1255,437,1041,2365,9770,3785,2477,7690,8115,2447
+,9785,6483,3291,6996,6267,3603,265,3801,1703,4007
-,695,0,0,0,0,0,0,0,0,0
+,4687,3149,2282,1258,3628,8758,6315,2797,5593,3950
+,7193,4579,1050,4689,2256,7030,3072,898,8763,6056
-,714,0,0,0,0,0,0,0,0,0
+,8525,9171,1777,6150,3147,9340,2449,2639,1780,41
-,756,0,0,0,0,0,0,0,0,0
+,3101,5102,2407,5981,9497,2446,4911,9520,7883,6615
+,138,3460,7019,9774,592,7346,3684,8494,8768,2134
+,3358,4964,832,6893,6165,7628,9092,677,4513,9186
+,1499,2336,1044,5469,3389,8448,2336,1568,5457,6163
+,9794,1715,4747,3536,2741,9009,7497,1845,4334,6117
-,25,0,0,0,0,0,0,0,0,0
+,9188,139,8279,732,9299,1422,8302,4630,3209,4906
+,7449,7671,8145,2694,1650,8740,6228,9637,6236,3957
+,3549,256,9604,4795,6017,7674,5692,6741,5329,7754
-,753,0,0,0,0,0,0,0,0,0
+,5626,9578,638,4848,7396,3125,5128,2095,3667,7693
-,344,0,0,0,0,0,0,0,0,0
+,4146,2700,2106,5598,1038,8523,8821,6747,5811,2787
+,5477,4581,3203,2324,909,1678,5731,1876,2834,4008
+,9179,5152,5011,2637,9481,5642,2233,5086,1970,9145
+,922,9903,2705,329,6117,4895,4840,6484,2253,3206
+,9376,1508,3867,6647,2407,5533,1787,8398,4265,1216
+,733,9540,3123,2691,2823,6234,619,4398,8488,6323
+,7789,3405,8633,2653,6859,5569,3080,4325,8974,9730
+,4455,7263,4220,8108,9440,1036,9554,7936,5951,9821
+,8646,3594,3899,773,1726,8465,5,5774,748,6775
+,3098,2086,3668,4047,4633,7063,4410,7443,1571,9058
+,7953,2197,306,2680,3929,5408,5601,307,1641,6408
+,6113,5247,9893,5425,3897,9794,5184,7068,8733,8364
+,7007,5718,3713,9409,1745,3799,3264,2778,7073,3891
+,713,5646,1560,6882,9599,8174,2941,5917,3346,4191
-,850,0,0,0,0,0,0,0,0,0
+,6162,105,9642,9556,6028,960,3266,7237,1973,540
+,1915,1387,9767,6635,7918,5818,2735,6577,5993,2884
+,1990,5362,3715,3317,9436,8671,5832,4178,1947,6011
-,611,0,0,0,0,0,0,0,0,0
+,6689,7722,7577,4309,3836,6489,3277,4385,4498,6443
+,5048,1777,9605,8017,6386,8393,5625,7849,6836,156
+,8631,6676,5662,6591,1409,8518,4683,8608,3132,3805
+,2092,2235,9013,784,8077,4596,2889,3202,6466,1094
+,8308,3072,9994,5432,9622,1454,4778,8991,6593,2918
-,186,0,0,0,0,0,0,0,0,0
+,8332,7890,5930,6924,4525,8770,4544,2587,4977,9274
+,790,9688,6261,1545,440,387,475,7666,4974,4103
+,8383,8617,8112,7099,8563,8583,3433,8039,9549,8849
+,7354,5200,9282,7968,6455,9961,610,9354,6672,3658
-,963,0,0,0,0,0,0,0,0,0
+,6699,5207,3948,4793,3951,2710,8824,7142,4047,5486
+,6980,493,9987,9173,5033,1351,1180,7942,4484,5438
+,6134,8870,5805,1280,1411,3186,6420,169,4990,8000
+,5780,9800,8576,4959,2529,4652,5080,8020,3283,6297
+,1081,7322,770,4078,498,4410,2139,1467,7850,4584
+,9238,1410,7833,8988,6594,4375,5709,3868,8617,3944
+,1148,7288,9674,9345,2189,9095,7638,2347,921,5979
+,93,2487,8462,1895,1176,7935,3170,3052,6386,591
+,5328,2528,6407,1284,9297,4615,8091,7041,5276,4606
+,8914,6470,7144,6230,2627,1708,1875,7248,4978,7269
+,7047,6425,7731,3344,233,4669,8232,5270,1767,9939
+,1513,4362,5693,5112,5630,822,5478,508,7235,2685
+,466,6141,1269,4814,214,9113,9649,3721,8593,7665
+,7242,2289,5975,3096,9941,1273,7309,1798,2373,4808
+,5801,6314,793,6796,8037,9120,7149,1286,9694,6914
+,6016,5396,9433,2469,7983,5152,5072,1851,2259,2790
+,471,397,5265,2472,1835,9007,3815,8932,5918,2351
+,9462,3098,7945,9883,2757,4158,8442,4260,6761,3441
+,2789,7250,9010,3940,9197,7494,4623,4555,2523,2934
+,4557,9232,4924,321,8193,8766,8573,7865,2796,3606
+,9605,2344,5095,7597,7224,3613,8380,1089,7382,3714
+,4092,2788,9419,1986,6756,6905,8105,9861,8453,6017
+,858,256,6044,591,6865,1216,2008,1716,5296,8371
+,3991,1513,7293,4751,677,2095,5533,720,3946,8140
+,5697,7999,3648,9889,8702,8865,459,7326,6217,6716
+,7374,6538,4098,8563,4144,7199,6343,5039,8201,8989
+,5898,1629,2648,4325,6523,2190,4522,1119,7242,6551
+,8306,6973,6601,8030,433,4143,9776,9117,8287,640
+,2742,4386,1578,5616,7136,7478,1854,3094,4551,7205
+,1867,3120,540,714,5825,8333,1296,8759,2140,505
-,304,0,0,0,0,0,0,0,0,0
+,5411,7081,3789,7536,7531,8145,8535,2,974,6710
+,3126,5681,973,3227,5885,4148,9344,2426,6967,9049
+,3009,5187,731,7223,5125,852,438,1087,4167,9317
+,8906,8487,13,6799,7191,5773,904,8025,3930,396
+,6789,9557,8559,9382,4408,9920,9928,9001,5444,5660
+,6841,8453,7927,4186,3097,8947,4890,6048,6925,8587
+,455,8152,991,7763,4215,8573,4021,3985,6136,8005
+,9370,7158,5713,6569,3526,748,4982,8699,5952,6901
+,4575,1725,2976,1837,5541,5959,2769,5238,4304,9901
+,2987,4915,6758,4382,4545,8130,4234,4058,7566,1324
+,827,9462,2062,3868,4161,9317,5564,8762,6986,107
+,6489,7205,4162,388,1531,2484,5754,713,1579,6405
+,4059,1011,3114,3197,256,1979,560,1171,6451,3603
+,8451,9169,6452,3978,5138,8487,1154,9588,9920,1873
+,2918,2960,5123,5495,1401,2094,5734,8914,7221,411
+,4368,4762,4880,9306,2538,8785,7365,6955,7691,4113
-,975,0,0,0,0,0,0,0,0,0
+,6120,3896,8121,968,9573,2203,515,8427,9889,7546
+,4405,4410,2009,5563,9187,9414,3801,208,1417,7461
+,2223,6870,8306,2516,7064,9725,3342,124,340,9053
+,1526,8417,38,3124,5543,5604,6949,6874,2358,2293
+,871,770,5174,8309,4148,4777,2384,6412,9409,470
+,3633,3303,173,6373,4475,9,8395,1690,7668,9793
+,1420,1721,7481,8909,5993,6751,6603,4648,423,2465
+,4581,9070,7935,6124,1915,1854,6939,8070,8017,519
+,7899,1398,7499,8437,5955,6193,6257,2202,3606,240
+,7663,347,84,7885,5120,3482,5424,3988,3931,6734
+,5807,8913,3559,376,9771,1977,5620,137,5099,5148
+,4905,386,8371,4874,6787,4964,5555,2601,4412,4888
+,8590,3939,8171,8172,40,7999,2200,8678,4046,8661
+,7160,888,7290,8312,1529,3067,1071,3103,2729,944
+,9222,2241,6874,3847,1411,6876,5677,6212,8892,1225
+,8826,4840,4787,5714,2123,7683,1601,4407,1743,6710
+,28,7738,2825,672,2525,3948,8327,5292,4455,8560
+,5268,6941,6962,2253,2992,668,4760,210,8014,5505
+,8728,799,4836,1942,7051,8434,2562,1514,3501,5986
+,4923,1142,8048,4926,5397,8479,8874,6154,6586,9979
+,5355,1631,54,5294,8528,4191,3971,3478,9822,9885
+,1399,5075,9451,3212,639,1309,5301,9502,2576,7032
+,2878,3185,9508,1409,1185,211,9256,8046,3739,8010
+,7412,4305,5953,9704,435,4706,7720,1362,4075,4453
+,5773,6225,6307,2295,4610,9489,1430,4147,6835,4379
+,1325,4124,3911,862,8055,3589,7706,8241,7873,878
+,2842,7788,1853,1070,8800,5466,5505,9622,2388,7535
+,3999,5982,459,2772,6542,7947,3452,1671,5374,587
+,5057,3275,8221,9119,7658,2949,6243,6080,1595,92
+,2612,8433,6675,4713,7679,2759,7573,93,6550,6697
+,9334,9219,9275,4059,5258,140,1162,9610,7290,5314
+,8889,2199,2972,8941,4638,28,4889,7189,2502,5732
+,5887,1230,1018,7525,9977,6375,8754,6372,5362,9287
+,5441,72,2110,5688,4804,1485,1557,8824,5184,4725
+,9671,8984,6113,3163,4891,8184,1421,694,819,1674
+,2629,1607,7929,1456,5928,1736,9105,7702,989,5382
+,5292,3899,336,7971,2180,6180,2885,6686,9018,5943
+,5361,1893,4218,8808,5233,1289,1188,596,1816,8721
+,5276,2489,2312,5838,8528,5497,3734,1505,3748,7255
+,8803,950,4379,1946,2278,3052,7650,834,5267,2078
+,5756,8742,2186,4225,3450,20,1808,6500,6708,3870
+,6861,7190,6099,9737,8863,250,2000,5837,8970,5773
+,4100,8444,3827,653,271,8698,8761,8833,7163,5708
+,4794,8804,1105,3206,7828,7506,1511,5735,7152,5677
+,9803,8284,4614,8854,8837,859,7971,7462,1381,6363
+,3554,4646,5803,9455,6184,7513,7078,3237,1532,9963
+,1886,9474,8383,8081,6369,9871,790,2849,3764,8548
+,2176,2723,430,9434,8171,3583,9846,4647,392,4531
+,7092,4615,743,6656,3299,3838,8278,7181,9648,773
+,1652,2750,2379,9307,2291,1961,9718,2168,9661,3466
+,59,7059,368,9398,1873,801,731,3378,9388,5274
+,7021,7272,7123,3715,2329,5588,9969,1112,3917,1118
+,1433,9331,5352,5759,2015,24,6450,6740,362,3097
+,8996,9250,2089,8336,4699,9646,9553,3809,8171,9670
+,4385,2820,8435,8982,2227,7866,388,9182,9867,5863
+,2892,5654,5194,1830,7624,8671,9553,4194,5752,2021
-,145,0,0,0,0,0,0,0,0,0
+,9971,2078,517,391,3426,8392,1887,1885,3288,4342
+,4200,1272,9043,7402,999,3959,6322,5185,9815,9408
+,424,5676,4457,4578,8713,1237,4185,3869,7339,2883
+,2305,4802,4787,8400,8038,9958,2045,1726,5211,6946
+,6851,2640,7081,8753,1116,8275,6899,9298,9183,2763
+,2126,7500,6615,4475,5525,9585,3189,2368,9839,6776
+,2725,5040,5932,3356,1142,1465,3605,1284,1030,364
+,3563,8370,4327,8432,1631,3145,5786,9025,9994,8380
+,8142,9745,1983,1434,8703,3278,3267,2919,5327,3305
+,9920,3663,6545,7948,7447,4636,2923,5915,7423,4095
+,2876,1283,7979,8390,1290,815,5997,8955,4479,8293
+,5823,7803,1530,1232,1842,4047,9834,5921,2401,7203
+,1051,7156,9386,2627,9574,7147,6118,498,6455,2078
+,5868,5688,5749,8270,1980,2084,1782,4978,6663,9723
+,8484,9013,5085,1734,5210,2207,5874,5043,657,2437
+,873,3568,402,9836,6833,5956,888,3354,3629,6753
+,4061,412,8032,3,7728,8820,3986,4890,7649,1004
+,2465,6698,7362,7840,738,8553,1315,6323,4673,4191
+,6436,7247,6686,1934,162,4415,3434,5482,8024,4293
+,6424,9017,4395,7834,9764,5513,2396,3969,4272,5719
+,9723,8732,9161,8486,7964,7655,2928,2325,9310,7428
+,9761,2512,5684,9438,6669,5304,7188,8324,1739,2459
+,6767,8361,3331,6235,9250,8438,1346,2500,6634,6488
-,698,0,0,0,0,0,0,0,0,0
+,9534,208,8537,3668,5747,4248,7439,4918,5524,6057
+,4229,5190,3202,8574,5607,5377,5645,4255,4731,2219
+,5287,6733,638,8937,1578,2860,6084,4248,4928,638
+,7241,8999,3098,3052,146,8522,727,987,9730,5847
+,606,3721,8828,8067,5227,4094,95,1262,9146,7222
+,2913,2770,4258,7224,2488,9288,5869,3235,5583,3227
+,4142,9290,9818,7967,1952,1023,3984,2044,7512,4925
+,5972,4789,2793,7574,116,4226,4654,6026,780,8846
+,4307,2228,2743,6899,2198,1557,771,1027,213,5160
+,7951,6100,4113,4926,2342,8392,5153,2008,555,6602
+,7370,2419,5826,8307,8420,4767,5478,9901,7931,8066
+,4695,3703,9987,9241,1853,4972,680,1196,1055,226
+,1215,3190,6894,8279,1888,3450,6169,5535,575,1524
+,7318,3348,6657,6793,4012,1836,925,7881,5710,74
+,2855,2285,5366,3386,9943,7010,7690,423,9108,6017
+,368,6244,9482,6412,6826,4646,1737,9971,7094,3157
+,8917,2638,6511,4387,1408,7149,8559,1333,3479,8953
+,8282,8033,2326,8791,7822,4967,6872,446,1028,5890
+,6837,3570,6380,4300,1758,1167,8332,7770,7516,3291
+,1449,9108,8451,1597,10000,779,6510,6116,4138,5853
+,2802,2223,9151,3057,1880,4699,4388,3041,2080,3188
+,7845,2471,8704,5843,4256,3097,5311,6569,5562,8239
+,9551,6087,2473,515,5827,7398,6140,2445,3459,8198
+,3846,830,2245,1080,6383,415,8559,1270,8331,2053
+,7709,8376,5857,5447,68,5223,6272,8460,9812,9439
+,8519,6113,5319,485,4278,7306,9984,7843,2567,7906
+,9882,2801,4213,2776,8175,2051,5241,8103,6924,5107
+,7310,5775,5508,416,1825,1069,90,2076,9717,35
+,2512,649,1124,5038,9227,9267,5678,8894,3720,354
+,2640,9292,9527,4837,1876,8388,4780,6141,449,2795
-,248,0,0,0,0,0,0,0,0,0
+,3807,6580,7637,2271,4255,7937,3574,9897,4408,169
+,8109,1469,8984,8715,2021,8385,3832,9994,6300,5008
+,2970,8588,825,2590,6963,2841,5267,5468,1047,9562
+,3638,7754,6114,7603,316,3499,3726,2982,3570,9834
-,640,0,0,0,0,0,0,0,0,0
+,2561,3305,8725,4474,2819,2176,6098,7801,8360,2621
+,5310,9675,3319,7813,6852,3663,70,7173,6928,2633
+,9521,6623,5493,9746,1481,6003,7666,5097,1778,9761
+,1605,7443,6527,2546,2125,9956,8044,3584,6631,1157
+,4754,4612,8960,5819,1095,8401,5349,1852,5127,2156
+,7717,4221,2523,1946,5058,2811,3151,3218,5996,9977
+,5809,7719,7769,1405,2785,7381,7894,4643,4478,4247
+,4473,6018,4593,396,7672,9073,1340,9316,6624,5125
+,2110,979,5793,4730,3279,7550,7233,687,2168,386
-,137,0,0,0,0,0,0,0,0,0
+,9284,480,2831,6225,3197,8969,2218,6626,3167,732
+,7963,7592,2854,6815,2712,5123,9756,5767,1177,4604
+,7510,1301,5529,1038,2882,7148,8266,9331,6725,2007
+,6155,3915,5306,3132,7387,176,9149,4456,1390,2369
+,9129,4143,2823,9015,9486,7138,9456,4830,1758,7030
+,1583,4083,4141,6765,3171,8575,4291,4225,4511,4720
+,4973,9067,2269,2651,4358,8357,5653,3927,3960,6315
+,6232,5151,4995,8108,5995,3167,289,52,647,2704
+,9094,2912,19,4173,3073,9819,5072,4110,7294,2233
+,9786,5851,3782,1782,6289,8277,6601,8306,38,5081
+,2159,5600,254,4942,2092,1267,5587,1508,4451,5048
+,6236,8073,3665,4216,1049,7783,4069,2524,1352,3676
+,4044,6138,4150,702,2495,3566,4128,9652,5125,5885
+,3093,3449,6844,5933,9446,8526,8706,1429,918,2064
+,8180,6163,638,4608,2343,6572,3128,841,3993,6735
-,583,0,0,0,0,0,0,0,0,0
+,5924,6684,4910,5241,7971,9177,5201,7747,3937,6651
+,5674,5915,2424,8844,7820,3302,3283,7577,8038,6555
+,2783,4058,5363,1137,7507,21,9027,9225,2736,3642
+,8288,8751,2611,2457,4134,3954,6571,7379,1941,7842
+,6827,5845,876,40,6986,1200,8087,2312,531,3887
-,154,0,0,0,0,0,0,0,0,0
+,5635,4687,3814,4874,8190,2850,6813,9763,2206,1461
+,4279,7222,4781,7237,2704,1565,8093,824,491,6862
+,4525,9058,7453,8164,1143,3194,2262,4937,3849,8044
+,4566,1350,8204,3392,4376,6013,2310,5613,8214,5106
+,5092,105,3393,7593,9184,9318,9279,8060,3761,2735
+,2101,2232,3433,6468,9592,5521,293,9154,8716,8010
+,6650,3951,9789,8185,8433,575,4583,2412,8165,7119
-,112,0,0,0,0,0,0,0,0,0
+,2364,2319,26,8936,1546,4421,3189,7001,226,6024
+,202,8325,5125,1060,6850,3174,2597,4381,4458,1377
+,8281,45,7602,8191,4451,2261,1902,8082,8349,7910
+,8622,583,6413,3210,678,2935,5957,5826,2341,7532
-,122,0,0,0,0,0,0,0,0,0
+,8053,9723,96,6644,8346,9886,7173,7551,7079,2962
+,4015,3562,4551,8313,8707,5787,4899,1209,3445,6862
+,5703,6895,8976,8501,2329,8792,8838,235,1459,5161
-,578,0,0,0,0,0,0,0,0,0
+,2383,2130,3431,9627,8182,2556,9351,1828,8179,3623
+,7807,2395,5470,567,6930,770,22,1311,5309,3266
+,2599,9478,653,8514,5538,518,5737,9967,2599,9884
+,8033,9230,6055,9280,5450,181,5280,2019,3845,4710
+,8,2285,692,2243,2361,5170,1483,1210,9174,7354
+,8707,1576,3094,7532,7773,1926,676,1709,5767,2870
+,1951,9460,1853,1936,1291,5470,8189,2176,7239,2426
+,3767,8466,1665,6690,6487,7432,2561,1515,1890,2848
-,69,0,0,0,0,0,0,0,0,0
+,3831,6210,5960,5954,2784,3538,3067,7768,3307,8763
+,5688,9158,1978,6390,6914,1169,7043,4939,1830,5869
+,7902,419,4866,2976,7874,2639,2930,7476,5623,7398
-,159,0,0,0,0,0,0,0,0,0
+,2392,1334,4259,7912,1031,4603,90,8264,7930,4411
+,6167,6829,5846,2946,1108,7490,2252,1836,4970,3880
+,3497,7018,28,1663,347,2016,3101,5906,6344,3782
+,6001,4573,7331,5406,8374,9421,2669,679,1369,6329
+,3688,1655,1034,9741,4690,4157,6436,435,140,2364
+,1392,4300,5087,516,9255,8234,1998,3781,4144,3821
+,7361,2681,9075,2408,6230,4939,7464,8675,4868,3384
+,3808,6969,2620,2406,5485,6058,1254,6485,5202,4855
+,1412,4774,7928,1206,9663,1238,810,2086,5739,3852
+,578,8387,2447,2995,5750,7175,5891,2915,2450,9374
+,2345,4498,2968,2185,9613,2902,3114,2427,9478,7469
+,3834,6555,646,2766,2643,5063,7209,9175,3989,7620
+,43,3237,2991,8231,4170,8576,5697,3433,4391,5286
+,7824,3202,6736,8960,7558,5507,5991,1827,3774,8757
+,595,1251,4912,7588,4398,4651,8748,630,7885,4176
+,8798,3181,9217,6330,3675,2516,5860,5069,8140,5812
+,2327,3982,468,6148,5876,1383,1702,408,5166,7300
+,1964,8735,8775,391,3022,6836,9925,4653,5736,2588
+,6807,547,2728,2752,74,2472,779,7139,5675,9527
+,9379,9713,3682,7562,1178,1582,4948,4804,7224,5497
+,8763,8824,6842,5291,7213,9726,2639,2143,2420,7082
+,6372,4493,2971,8650,8444,6588,7045,1522,5406,7969
+,8343,7383,1358,119,2621,4301,9268,8234,730,2773
+,7180,5053,3137,7807,3451,5157,4637,7955,9199,1491
+,7967,2671,909,22,3456,7826,4371,5360,7355,382
+,4679,7307,5435,4598,892,857,5062,8865,8271,906
-,302,0,0,0,0,0,0,0,0,0
+,4702,6304,3498,7704,9988,5911,5752,2777,4513,5652
+,5586,1253,1245,3648,8516,4945,846,8676,6681,3568
-,143,0,0,0,0,0,0,0,0,0
+,9202,6624,5854,1193,182,9670,8244,8830,2579,8180
+,5735,4017,409,6809,6401,9616,4538,9896,1386,1203
+,8658,5432,4265,3685,5249,2301,2729,9801,8423,4355
+,1247,7349,2031,6165,8939,442,7081,4035,7697,899
+,2982,5038,7535,3378,2745,8125,9332,444,6326,8998
+,6914,9381,9153,6887,9214,2166,2559,6791,2145,706
+,126,1003,521,7154,6219,7104,8300,5646,3283,4522
+,8607,1258,416,7344,2954,7086,8980,6007,3798,1018
+,4312,4815,4468,5434,4679,3494,4747,428,49,8007
+,4781,285,9338,2741,1433,1840,870,6817,3452,8716
+,2351,2011,9668,1966,4415,3632,367,1991,4159,979
-,158,0,0,0,0,0,0,0,0,0
+,7992,4308,4467,4823,5898,9644,9295,3559,7697,5304
+,7439,365,9245,4513,5714,7883,9607,1572,5860,5911
+,9053,9887,9779,6873,8948,5506,3007,4500,4102,8250
+,4071,4587,4373,6650,6935,1145,8457,5108,5678,7225
+,2880,5120,6157,9079,4584,4689,9608,2840,746,4951
+,7074,6479,1622,2318,9768,8593,8845,6540,6533,9330
+,6608,2570,4995,8163,1936,4910,4859,6398,3706,3949
-,320,0,0,0,0,0,0,0,0,0
+,8327,3569,3258,2169,8959,5291,7118,7021,9847,7933
+,6636,9489,3281,6834,4067,254,3137,1467,7877,7045
