OP,A1,A2,A3,A4,A5
+,13172,16114,9174,4902,6358
+,6077,17843,16784,10168,16201
+,18340,12844,9204,5528,15547
+,11927,18844,4709,8696,824
+,14293,1077,3763,8199,9602
+,6560,11353,17939,19649,13129
+,14386,2336,13792,14967,16280
+,4579,5035,15697,15405,14271
+,2800,13838,3553,10829,15023
+,17965,8660,2138,13429,18558
+,4455,4918,1702,3666,14145
+,10798,10627,1674,1934,13600
+,242,17263,19432,15639,12170
+,10299,10683,17611,19970,14693
+,5234,18965,3095,14500,13515
+,17734,18863,4694,16216,17705
+,10208,6913,10264,8424,16777
+,12035,4023,2134,912,9732
+,17171,7790,6993,6068,17908
+,17177,68,4329,17845,5844
+,17142,2457,837,2917,11478
+,9158,9200,13141,19830,16245
+,13238,6984,18137,16276,10444
+,10363,14841,7189,14441,10134
+,4560,19928,15168,6873,7979
+,10136,16891,14164,18464,17375
+,11370,6,13704,11959,2913
+,8432,2121,8675,19542,4564
+,14760,6392,4257,15853,7395
+,8294,18746,11328,5220,16213
+,7975,5313,16037,5904,15211
+,2136,4566,14949,19359,15584
+,10382,3163,8005,16219,12037
+,2605,6690,3901,239,17495
+,2848,8223,2257,12616,11102
+,15954,1217,4725,15919,15870
+,14395,11074,11112,13473,13288
+,14276,12780,11987,16288,6570
+,8772,4258,18072,7929,16934
+,247,8359,10782,9437,2345
+,2906,18046,6535,12379,16738
+,212,17038,2513,12073,2952
+,1405,11679,1716,783,12517
+,8571,3472,8610,14272,4179
+,8894,16633,17833,14093,19571
+,5967,8257,3591,13404,13863
+,9675,17372,16983,19400,6272
+,13813,151,725,2064,10389
+,15961,3260,6724,6797,19209
+,12343,10323,5623,10372,13142
+,15504,1318,15537,7589,11962
+,13425,18093,18889,19915,11538
+,5290,16452,6116,14233,19280
+,3162,817,16992,1728,5266
+,7478,6175,5694,11223,16913
+,13687,11503,10773,11156,7007
+,13393,5599,10323,322,1102
+,14286,17915,3903,9479,18516
+,13956,13798,10390,4273,757
+,12299,7154,13886,153,17275
+,10041,6757,4274,15168,9913
+,18780,4159,17108,7646,15210
+,14697,19833,16654,14714,11029
+,2261,2775,13697,2577,14805
+,4810,6869,15389,11311,100
+,6016,11200,8444,17541,2936
+,17283,7362,16058,10999,14327
+,19584,15477,14401,15985,17706
+,4269,12294,8900,2251,3365
+,3290,18704,12698,15875,10209
+,19811,3654,15338,17952,7985
+,5002,19527,10170,8907,18715
+,1698,8558,10913,3258,14868
+,10741,5826,4678,6757,3140
+,18508,10033,8450,14360,14245
+,16343,12546,4578,11103,12422
+,14180,17333,5286,16092,9078
+,14879,3441,11779,4601,1952
+,9294,11382,61,10068,3955
+,1579,1169,12249,11205,19896
+,10503,1920,15523,9612,17535
+,2976,7344,12121,5481,19303
+,19895,19853,13498,2440,18339
+,2170,19445,15717,5117,18094
+,8213,7461,9510,12077,19371
+,6943,18566,17108,3714,1073
+,18829,5896,1983,13231,6103
+,4253,4764,9993,6369,16697
+,18446,12282,5368,6180,9975
+,17173,1029,17982,14605,8030
+,9638,6236,14057,13875,9125
+,11291,2250,16574,13774,5121
+,14792,5576,12623,18945,7674
+,3458,9167,17373,17917,5107
+,11336,11119,7737,11304,4652
+,1727,837,2870,7030,15769
+,1108,12431,12863,6297,19377
+,5912,235,397,16319,8717
+,19907,11573,8193,1652,5448
+,7277,18904,18591,10206,18789
+,171,18090,16177,1095,3223
+,7181,6641,18936,2094,4138
+,15975,12967,9008,18551,805
+,5135,13189,2124,13117,7261
+,8930,9032,3081,14193,17124
+,18394,9988,17345,8008,19527
+,19575,12681,3124,18192,13039
+,2524,17075,3758,13205,10550
+,445,13431,9203,15842,4193
+,3855,9729,1735,10598,19430
+,12755,509,1032,8226,10294
+,14558,7422,13537,13672,5232
+,4237,4160,8551,15609,6772
+,8887,6824,12871,17150,11967
+,15627,6379,17876,10695,19402
+,11208,19962,877,6335,10479
+,15374,11349,16179,1556,7387
+,7836,4549,19411,416,10972
+,5877,570,18580,16161,15574
+,728,664,5828,4615,3744
+,17527,6891,6492,1088,4520
+,10884,3198,19259,1129,12309
+,12568,5787,3224,9865,6060
+,17199,13025,4213,19520,17970
+,4536,7690,12318,6347,15938
+,2089,2090,7045,8271,10550
+,18469,14414,9837,5627,4482
+,2048,13375,3276,8013,16549
+,10635,2927,18210,9596,6233
+,19935,14340,17652,12093,13806
+,5526,14516,19203,6627,19412
+,3736,2768,7386,8592,13229
+,16661,4815,19795,3743,5224
+,1426,1315,8652,1379,8132
+,17170,9490,15285,7897,2766
+,19582,7165,11197,13471,2299
+,219,9383,13789,14674,6765
+,12632,10243,6174,15854,1397
+,3189,14824,11693,3797,12269
+,8168,8518,8414,5702,8910
+,15196,7208,16587,18748,3221
+,19488,8439,12474,8889,10335
+,479,19586,15486,9665,416
+,19041,88,5700,7561,1904
+,3177,3592,9787,8453,18750
+,6406,6689,4462,16686,5545
+,18090,3945,3183,7118,18717
+,9138,9617,18200,7346,1200
+,9193,2193,11228,15154,17753
+,10210,14974,14908,13924,9390
+,4087,2495,12950,14094,11079
+,8284,18535,11875,9559,8749
+,15659,7792,18969,9273,1533
+,15223,916,14116,4016,10329
+,1058,18119,5314,13457,19915
+,13831,4140,5438,15181,8418
+,7038,13500,3596,18657,2711
+,5105,16065,16192,216,15862
+,10193,6979,7300,4952,3943
+,13056,10474,12204,4685,4897
+,7594,8865,17407,6856,17347
+,9666,7760,5652,13361,14614
+,18905,2332,7022,15138,13472
+,18188,3649,76,14775,8068
+,6208,12907,8243,4730,7487
+,12590,119,17418,17075,13997
+,8782,2741,12298,3718,18044
+,1190,711,14546,10681,3021
+,16428,11512,17857,6519,16480
+,17590,16572,15705,1661,17293
+,16760,4230,12642,11281,15599
+,12824,15206,2823,7245,473
+,17567,8083,16840,2528,15211
+,2436,19939,15259,5876,3491
+,10544,15570,4361,4587,9758
+,11988,10421,938,797,4267
+,15784,19092,11529,2565,16838
+,7695,10194,10726,3088,15661
+,19650,3198,16854,3480,2759
+,17539,4387,9711,11083,10513
+,7380,16773,16157,9309,5794
+,14052,18393,4574,4461,5680
+,6194,1055,1929,5474,4166
+,4787,8111,1633,1585,6867
+,9154,14773,19280,8395,2373
+,10818,19639,5993,12614,1481
+,13193,19500,2670,257,18755
+,8159,1619,561,15173,4172
+,11168,5423,19535,834,18982
+,6331,9341,11412,5058,7627
+,1918,6214,6627,18019,16271
+,19975,14263,118,12830,120
+,15000,5442,12225,14279,7043
+,15569,14793,15218,3667,1193
+,11090,5769,2269,5469,13000
+,16711,4314,14306,15547,8582
+,4277,18096,18671,18469,19934
+,6215,6839,16545,15980,9507
+,503,5140,6527,15505,15096
+,13296,6465,13561,6602,8648
+,7164,13766,4561,13267,13322
+,19775,5391,6866,18727,14749
+,13710,6000,13042,2609,6380
+,18039,6050,16337,2949,3229
+,4479,13066,14931,13304,15359
+,15650,8185,5396,8876,14718
+,3541,15932,9599,12372,2017
+,4913,13913,14833,6462,6268
+,6981,6241,8612,322,4776
+,5811,3964,1686,16974,13596
+,12448,14072,11722,7125,14186
+,19113,13406,19153,16067,10032
+,8528,9376,14091,9841,4976
+,1679,4124,5106,7585,12897
+,9680,3700,19219,15607,10027
+,17574,1557,17930,6812,16825
+,13972,9068,17500,11522,4956
+,18267,9928,16851,14675,17910
+,4814,2779,849,15985,5793
+,1816,9935,19009,648,13850
+,8662,18339,1088,5430,13716
+,19849,4228,10027,10766,329
+,5159,3572,5335,6323,15015
+,15788,6409,14276,6305,13369
+,42,15636,17403,16807,19385
+,9864,14532,15192,7692,5742
+,2584,12942,17251,14900,15728
+,10019,186,5776,5920,16257
+,12955,13588,15345,4617,9658
+,11892,11261,7837,1460,1932
+,3010,4,14054,6422,14311
+,10697,3331,12462,7731,8140
+,1947,4259,7249,17772,6832
+,4929,8435,17125,3834,15351
+,6680,9232,5260,9359,17928
+,8119,18710,5040,468,488
+,19880,6027,18981,8882,6674
+,8800,2933,15033,16627,17802
+,4684,13048,5076,9210,5590
+,16364,4731,9808,16610,4405
+,13370,6479,18814,9728,11932
+,4892,12086,13566,9919,8665
+,12336,19457,19498,16672,13712
+,7632,17145,17315,9186,13296
+,9812,17967,8046,6114,1911
+,10526,13785,10321,17347,19337
+,17217,17963,7382,1897,8442
+,9897,10411,7768,8225,11181
+,15721,13310,13526,1673,7170
+,14422,19902,6580,15541,10023
+,3949,12985,8566,6764,15339
+,17189,9577,10427,11013,14333
+,16757,6608,16558,10605,18661
+,12979,17285,19354,1454,3876
+,930,6404,1681,16736,1047
+,14555,18355,14069,1849,13554
+,113,1359,204,16681,1071
+,16383,10449,6829,1654,4896
+,11979,3020,450,413,15841
+,5418,17835,11984,19826,11233
+,19386,11309,13020,10130,18646
+,16365,12636,1246,4904,4584
+,3035,15582,6548,17536,8487
+,1027,14409,13161,235,7003
+,14753,235,6342,927,6727
+,11417,12941,17052,18373,11750
+,6248,2898,6670,593,12814
+,6544,17143,10202,13944,14120
+,2720,13469,13702,6202,11065
+,2959,15268,18562,9306,652
+,5976,7210,6787,10970,9590
+,11243,9215,17050,9300,13795
+,4616,3356,4448,12092,17933
+,3533,16332,16180,3609,14433
+,3159,11172,2772,6686,11778
+,6158,2086,13418,17294,7352
+,14854,600,12041,3891,12316
+,17889,16314,737,12282,4851
+,16244,19311,6188,7988,957
+,9948,1963,10357,4365,19884
+,10068,11454,18391,14876,18683
+,2403,15114,11618,19578,14295
+,954,10406,7344,16163,3713
+,19865,18826,11443,10379,18022
+,13315,8944,9823,19678,12747
+,14723,158,8973,18829,4859
+,12651,5627,1878,17906,19334
+,13638,12082,18408,8599,18157
+,4750,2990,218,11491,18503
+,12794,14119,17216,14872,18701
+,15227,11475,8671,19908,12040
+,420,9855,4390,18057,4235
+,11282,12662,3369,13724,10274
+,12086,18682,11872,5239,9628
+,13020,5699,589,9584,9825
+,6760,2891,3894,19031,5200
+,325,9151,5235,6260,10886
+,13347,7451,5254,10364,9163
+,4292,15614,9839,12218,5908
+,2408,1940,18834,8978,12065
+,3156,2060,13213,19063,18129
+,5750,2872,6774,12666,11360
+,17379,14334,8062,6274,16631
+,8359,2418,7753,2625,16950
+,1722,4547,4008,2546,9722
+,12579,15574,16677,6816,10172
+,16777,13516,12883,328,6969
+,4106,457,2066,15307,14001
+,18770,19100,13461,12421,293
+,2100,7981,16879,16497,1575
+,4628,404,6037,15881,1721
+,1535,7651,11852,11170,1377
+,19652,18587,2727,9748,5019
+,9125,5794,6110,4001,2917
+,994,14171,455,7840,10037
+,8010,18536,10843,11231,9127
+,14981,1395,4013,4946,10026
+,3558,4289,8315,4757,2961
+,6024,16002,16707,6136,18529
+,14817,3036,8722,16567,2552
+,12061,13236,7927,13435,6524
+,17289,6446,15851,6259,6607
+,3206,8955,8705,17409,19312
+,7466,13612,626,11830,18439
+,17339,15599,16985,6208,9514
+,5619,1954,17745,14060,14719
+,17125,9705,15514,9443,8464
+,3373,7001,16083,3875,2756
+,5538,4933,1431,9402,11367
+,2714,17280,13978,10336,292
+,18784,11482,12426,12667,494
+,19023,18231,18587,4028,11538
+,13606,12959,472,694,4809
+,4475,9857,7229,2822,10212
+,11585,9441,3683,1285,12155
+,8888,17002,4152,7058,2910
+,6425,13681,3800,13560,13988
+,2148,16069,2690,17181,13282
+,8631,1048,12657,17252,13145
+,10249,9062,13840,2507,13599
+,2618,5369,9429,15348,18991
+,6684,10263,6472,17072,4886
+,8423,18779,8569,2944,14422
+,15580,1249,15442,17155,1012
+,1752,16987,16824,10942,8963
+,16794,6477,1712,15491,378
+,15367,8593,18411,5516,8234
+,2817,15728,12396,6714,10167
+,6502,6607,1837,5797,7386
+,4066,8937,10120,11869,14482
+,4597,656,2146,3956,12210
+,1369,13738,2027,12806,18955
+,2389,7041,15656,16435,15345
+,5107,415,11303,8254,17145
+,6622,7708,6129,1626,4610
+,10613,13936,19051,1703,17512
+,13610,15675,4820,12291,12776
+,17230,17255,9865,18705,11683
+,10115,15487,623,6270,1318
+,15100,8177,9807,1903,4739
+,11462,4727,6788,7483,7503
+,13533,14846,16199,704,1228
+,8859,15514,19711,18735,1436
+,4567,6315,12587,17119,16290
+,4184,4594,7475,15606,12775
+,14547,7105,4102,1742,7416
+,11211,8368,19342,17519,12864
+,18351,1855,14965,18154,19258
+,4330,1440,17604,16407,2295
+,6149,16403,13713,18873,14840
+,5594,12200,7544,11732,14168
+,17159,5758,10501,5966,14268
+,14261,10984,7637,152,11420
+,13145,12786,15027,15764,19280
+,12718,7497,4507,12156,19889
+,4730,6277,3469,4371,16024
+,7691,13234,19509,17948,1831
+,17180,3528,16265,1812,9123
+,4305,13478,1391,8708,9600
+,12319,6185,2307,10855,11078
+,12242,15447,1822,7083,8389
+,17706,14264,19060,11434,12639
+,11200,10327,19018,19664,5312
+,16057,4268,5565,15168,9393
+,4336,19045,9983,17589,502
+,2173,16167,15454,12137,1319
+,17878,9501,7275,10013,3433
+,3412,17876,6867,16567,13368
+,7121,4600,14173,10453,14874
+,14625,17674,2660,4147,7980
+,8205,13455,13269,5906,18687
+,5364,6134,13561,19403,1494
+,3892,4805,14395,15766,4268
+,10095,12023,11965,16284,6703
+,947,1974,1736,3109,9484
+,11862,2470,19824,2758,13756
+,6603,15868,18513,7752,5056
+,10007,409,192,5311,9329
+,12555,8759,2685,3347,6299
+,4609,11714,16532,16707,6383
+,18765,9985,2822,6759,4780
+,11910,8651,17244,5166,6271
+,3341,12171,1162,7998,3581
+,15192,19848,11612,17953,3967
+,14145,10501,10087,11341,3006
+,17196,7317,5986,17268,12459
+,13685,6120,6139,7969,14438
+,6673,5387,17739,2082,16411
+,14799,13486,9197,5355,8370
+,9429,13667,17179,17452,16702
+,7565,4028,14737,15037,13790
+,2435,10764,12563,17244,5058
+,7326,15538,12485,11491,15089
+,12547,17487,13311,7331,16009
+,187,17545,14094,3673,8951
+,5814,11362,621,17024,12392
+,7605,5486,3963,17735,3243
+,18904,2589,16935,19910,12013
+,12775,4000,6894,14357,10696
+,2207,9068,11080,16344,14950
+,12185,2061,9739,17433,14343
+,6942,10093,18101,7566,19557
+,12411,11894,14957,14086,10757
+,9831,17911,19368,14414,1592
+,773,17202,12094,5251,11279
+,11919,5970,1865,19451,19657
+,19744,3802,17651,8453,18970
+,5537,17059,16050,18287,4734
+,13316,425,4860,8642,9816
+,7821,16433,434,6500,13279
+,2293,11831,9673,17390,12317
+,7364,4500,13592,12127,8352
+,11059,172,1245,8695,1854
+,5591,2239,9521,6563,15118
+,539,7219,1614,14991,8286
+,6059,9070,4940,1257,3272
+,4272,12927,19774,9351,2734
+,18933,18097,6469,8966,2716
+,6109,4917,17414,14137,10222
+,10774,6412,13897,1156,12801
+,25,1839,12790,1544,3766
+,9246,1241,9716,2260,17492
+,4742,18583,5192,18259,1391
+,12918,3319,17586,11992,11683
+,3664,18976,8858,14536,7313
+,16312,9621,5223,14704,11677
+,4891,13991,3876,11939,19779
+,2125,16812,3205,12549,2219
+,3336,17185,9361,17123,10535
+,751,4602,13463,12255,2853
+,13901,6205,19549,9713,11157
+,11218,7361,12574,12189,7494
+,2745,18024,17564,16567,4801
+,13554,17331,11270,8419,12647
+,5363,7781,18986,4020,16662
+,18488,15157,11803,1844,4385
+,7785,9198,15121,4769,16980
+,5837,6358,11633,8454,8309
+,10843,14132,1824,6794,14087
+,721,44,11181,18283,12194
+,12515,17615,7465,6737,5925
+,11222,14065,17869,9067,11930
+,19836,3208,7892,15116,4230
+,9679,16557,17317,965,4459
+,18463,2323,1810,13215,14515
+,9536,12984,1496,4711,15382
+,13168,9119,12830,3984,10530
+,8861,14079,6759,7091,18168
+,8786,1093,534,17148,18834
+,19873,8657,1788,13141,1370
+,12353,8936,12878,17040,8711
+,9692,19922,1419,3172,18920
+,3266,19708,5828,10381,10769
+,4734,13587,18919,2738,4268
+,13217,588,10691,12899,11013
+,7725,8913,15014,5603,7698
+,2391,4812,19660,2970,852
+,19304,15552,1213,14527,14986
+,7272,19802,5451,19278,8406
+,10098,13999,3331,10750,1661
+,18522,330,8556,856,17851
+,10681,5233,1565,15439,10616
+,18157,4185,9672,16848,384
+,2053,10788,12915,2089,3160
+,17837,10210,6686,12334,11493
+,11314,16851,16868,82,9259
+,16435,10953,638,19935,13501
+,2117,17431,11663,7685,10505
+,9657,13588,8425,6204,18935
+,17607,10988,19817,19532,6522
+,7910,13621,12064,16826,15525
+,8622,7321,12280,4987,199
+,15177,1849,2337,3180,2053
+,403,1773,5295,1378,17055
+,7124,994,4009,15115,5246
+,19583,14523,14386,18172,16966
+,17040,6153,209,4066,17306
+,9932,18009,5960,9009,7023
+,6320,18299,17399,17075,8752
+,9369,14766,5720,11271,1454
+,19030,6740,12810,6385,19444
+,7566,5804,6671,2038,9470
+,2458,8169,19573,16290,15697
+,8172,8914,12804,5535,17082
+,15570,10271,8833,18432,9911
+,3680,10981,11919,9760,2971
+,15587,16505,2975,4269,17631
+,8480,10704,15016,12000,2276
+,10899,12231,14768,7229,12341
+,10709,4304,15577,3594,15180
+,1247,16300,13451,3413,3963
+,7215,17107,13893,12921,12355
+,1891,15582,12903,4321,7257
+,8222,15162,19446,19960,6371
+,13806,8664,1474,12482,17611
+,9884,11475,10309,11629,4496
+,2905,9233,3879,2155,12647
+,19973,13088,10199,565,2199
+,2522,12964,159,3698,9852
+,5960,15825,18696,289,4405
+,10378,18658,5142,8940,19275
+,10340,2356,17295,6230,3793
+,706,13809,19205,10730,10248
+,3427,17074,14474,17846,13921
+,13743,14267,4369,16404,17630
+,4618,8081,14704,13301,6183
+,692,647,18592,6892,4347
+,7913,4954,14681,15606,13649
+,19971,2898,10506,3952,18236
+,3178,14374,14943,17876,3551
+,12457,367,18648,8545,16533
+,16116,2310,13715,8294,14146
+,9545,16792,1470,14571,11275
+,1785,18864,2615,19053,17276
+,10413,2834,2730,11099,10974
+,6416,13520,15315,14871,1693
+,11911,17427,18123,1624,473
+,3608,6360,7505,19608,6767
+,9144,4639,17263,8382,16295
+,12380,5678,11969,8429,15998
+,3327,3812,17174,15176,13133
+,12376,16103,4413,11311,13717
+,14143,14563,732,18010,12053
+,6336,560,16843,10279,14419
+,6645,14727,3015,10503,16491
+,14191,17620,10561,17259,18844
+,3883,12524,7503,18552,17228
+,375,15590,18538,2134,6070
+,8514,292,19388,11025,961
+,4166,12409,16849,12726,5676
+,2070,12864,18032,3801,5104
+,5927,16274,14861,1674,14965
+,14185,1304,8272,9137,9251
+,15493,3333,1208,10153,15733
+,6956,19816,9666,1489,12774
+,19533,19494,1484,4960,14146
+,176,17743,3406,193,19072
+,18813,11586,3613,13101,8939
+,19060,18036,11540,13779,7053
+,14164,16268,12476,15048,19471
+,17368,5755,19873,4585,1647
+,16004,12648,2661,10460,17653
+,4591,3828,1638,9887,3476
+,5850,12421,14780,3399,3575
+,15832,9072,15972,18413,14801
+,8236,8090,2419,5742,14254
+,15881,8760,17115,8590,15885
+,19027,17110,11412,10942,2800
+,13764,2921,16531,12778,3049
+,2746,16989,14988,7544,415
+,3195,2985,7466,11434,15568
+,7386,8364,6600,14686,14263
+,15772,9255,15806,11364,10259
+,724,2038,11621,7914,8840
+,18570,6835,15668,3522,4680
+,4354,18145,2654,2997,12120
+,10304,1235,4865,15955,3306
+,17251,5232,19917,568,14518
+,1193,638,17051,7602,9871
+,4081,5373,3939,16504,10137
+,5941,17485,1609,19535,19508
+,5758,3207,12029,6243,2072
+,5417,777,16770,2425,17755
+,14604,2158,13282,5292,18677
+,5905,6998,16058,3331,5399
+,10198,11255,6104,3568,3633
+,11599,5390,7616,14204,1580
+,18552,17915,3943,14983,4932
+,18209,4789,19701,15374,13090
+,823,15441,15054,531,3356
+,2459,6107,3423,17994,6689
+,1860,2445,13547,9535,7750
+,7812,14139,4154,5031,13066
+,5588,9936,9162,10954,10371
+,10766,3694,10322,16807,2918
+,10470,12420,17775,970,4333
+,17612,10166,13370,14704,1226
+,17264,19961,14588,13111,11667
+,15116,19970,6266,13424,1000
+,17461,16705,8133,8253,18957
+,2194,18351,7189,14158,19940
+,10647,6764,13942,2642,10532
+,15311,11752,15722,508,3416
+,11505,10836,10199,11778,17114
+,19993,8103,11398,18821,10412
+,6023,8672,13458,15146,2659
+,10887,12457,2,13906,12392
+,10183,11891,16182,621,2983
+,427,11704,17775,2261,3378
+,19685,8021,3752,15753,2468
+,8548,12307,10233,7156,6907
+,7252,10012,4170,7775,6980
+,19639,10115,2710,13454,2066
+,11108,17530,6240,19154,18375
+,1588,13046,16256,18052,12213
+,13397,12076,1544,1615,11823
+,13174,1770,15763,665,9161
+,14860,6456,16557,12004,6451
+,15251,19104,19802,18008,10654
+,7638,14028,18088,151,12860
+,4342,8919,2252,1046,14098
+,12147,17183,8210,13256,10200
+,2781,12787,11570,16750,481
+,5097,9498,14730,12696,678
+,10971,4955,16224,8208,5697
+,18382,5438,1319,18202,15116
+,10641,8624,3959,1175,7840
+,4862,9683,8323,16475,16259
+,6812,17324,8923,2285,1466
+,19606,17813,7870,13643,3384
+,6252,2627,12843,854,18732
+,10321,7210,19264,18801,15459
+,4827,17502,15772,12313,7905
+,509,14258,2903,13938,2717
+,5918,8829,15455,15221,8141
+,13656,18846,1268,19378,12967
+,16190,12654,5135,14990,9237
+,18511,6329,5265,15596,12310
+,12516,10660,16220,2574,18376
+,17805,7300,3316,7212,4612
+,17697,8559,223,10416,9593
+,1180,9592,14415,18262,11854
+,17753,9793,5691,11662,6715
+,13761,8569,16620,18101,12366
+,9737,3581,2807,399,4442
+,8190,11225,925,1628,19726
+,18806,18560,10925,362,12213
+,747,6181,368,13305,17453
+,15043,2998,6041,5412,14705
+,10092,4488,8267,16678,14142
+,6885,9549,6748,15875,13454
+,10168,1402,13010,7414,11782
+,1996,7526,13252,4339,8323
+,13704,8400,9673,15568,9713
+,17983,9069,8672,9018,13162
+,8016,15744,7700,11170,13723
+,5406,2656,14454,9527,11657
+,5246,17061,11486,7514,9465
+,16988,19951,6087,772,699
+,14204,8914,10229,5858,6598
+,9912,11759,285,6676,8419
+,15070,9210,12689,14934,5553
+,14766,4460,18503,558,3175
+,16400,15438,10792,4515,2274
+,8796,6155,5313,19410,17006
+,6661,1457,4878,10530,7183
+,19703,17098,7043,19301,1952
+,12521,12700,17062,14329,17481
+,4675,18749,6146,13858,3766
+,17324,3374,14708,15002,11297
+,5408,9489,14967,12529,12098
+,12014,1694,7642,15595,18435
+,16494,10387,13153,7838,4477
+,9433,17932,13939,8418,3926
+,11768,11697,16444,9205,16268
+,3890,6926,7948,9458,8981
+,3415,1459,5038,17124,6923
+,15599,18279,16458,1537,4270
+,15738,5680,2539,17812,1887
+,6009,4333,11502,2222,3202
+,19874,16832,8113,12275,5462
+,10560,13009,8196,15573,19676
+,8415,19436,17802,14287,7717
+,16764,17826,1179,13706,897
+,8837,9613,2364,3486,10107
+,3996,6697,641,419,9085
+,17726,616,19324,4377,9886
+,4581,18419,15411,14433,5772
+,18668,2578,18838,256,19053
+,7323,7116,9801,12609,5657
+,2165,6020,1334,1958,9609
+,654,5045,19112,8475,13880
+,9928,14123,12114,19511,19209
+,1786,16469,665,4285,6098
+,3716,12087,4728,5365,17541
+,11991,9221,3212,15403,4440
+,17263,4391,11698,105,14481
+,8803,8371,3939,7280,8724
+,2999,11124,15028,18150,7646
+,1436,7377,5081,12866,8589
+,13812,6437,18700,15986,4447
+,236,19022,12193,17066,9904
+,11635,11321,19912,1937,8297
+,2018,3518,7459,10231,4021
+,208,13344,12138,6726,15066
+,5357,11761,13992,10011,10288
+,9671,3758,6468,8196,8870
+,2846,13375,17413,8990,526
+,4879,4545,1492,3263,19127
+,7268,5944,10235,6995,17876
+,18029,12379,18020,13085,19425
+,778,16296,8246,6281,1420
+,15201,3583,786,2813,3106
+,8422,3777,12778,12404,2020
+,16290,8638,14892,7703,19108
+,1736,17888,9817,4297,5442
+,18196,14239,7228,3596,6640
+,13008,19113,5226,2097,16990
+,899,17883,14065,15895,11956
+,8969,8057,10025,18757,16214
+,10345,9150,7123,8408,16590
+,12386,5413,276,7771,12457
+,19934,6255,6173,19172,17350
+,10255,1051,19477,18844,2056
+,8274,18752,15770,19295,6148
+,3821,17197,17697,14700,17081
+,2320,10692,2728,4807,13761
+,620,7396,19315,11781,11487
+,16545,4988,16366,14971,6878
+,7653,6590,11016,17695,4872
+,1062,6143,1808,18643,5615
+,10855,13749,15902,17015,2270
+,11785,13592,1253,17358,6946
+,11328,1883,16373,18301,12975
+,9342,10330,5094,4864,10306
+,19248,12149,7457,19228,16265
+,5914,589,10113,4950,9452
+,11144,7025,2455,19396,17586
+,9465,14873,11492,13717,11262
+,15869,11362,285,2457,312
+,894,10725,15505,18579,3657
+,865,12154,721,9134,18910
+,10713,5281,2601,2357,13193
+,15416,11039,13410,4034,6998
+,5534,531,6676,16035,15072
+,12450,8775,4451,1110,103
+,15071,16220,9808,16967,14316
+,9627,18505,16777,8106,3070
+,7888,4995,8225,12378,14565
+,12738,17834,19262,12088,2102
+,53,12093,6296,14580,14249
+,617,3844,65,17350,18585
+,16460,4559,18874,18256,19141
+,19301,12004,5997,1372,153
+,3198,5110,12918,5144,8137
+,8832,4867,4577,5301,8147
+,16747,12227,4499,13160,2343
+,5707,9675,3005,18170,12182
+,5384,14427,17327,16653,8724
+,9403,6025,5181,3256,1782
+,404,5973,8530,14270,15305
+,5111,5841,16461,11304,18484
+,17498,18611,19435,5070,3659
+,3874,4644,8462,17752,9319
+,6654,6256,2653,14320,16183
+,15634,13752,17105,15731,13474
+,1834,16034,11496,3456,3979
+,18918,17813,9713,5158,17309
+,13733,18158,5503,17619,19438
+,2979,1175,12923,15924,9576
+,1199,1667,16229,15181,11458
+,11129,3057,843,5364,15212
