OP,A1,A2,A3,A4,A5
+,44423,38084,33470,7343,27381
+,40026,47194,34301,27803,11018
+,12013,8711,36863,9570,3589
+,26074,39219,1196,38054,43681
+,26643,48894,4331,37542,20077
+,33185,6625,35204,26405,42134
+,30445,4497,11975,26312,26601
+,38675,24101,7777,7879,13708
+,38857,23109,9356,15372,9179
+,9621,24565,48317,1261,20023
+,24843,6122,5070,134,38261
+,34498,26034,34293,38006,11657
+,13210,39551,32389,47844,20586
+,31235,12977,2293,47025,38487
+,47231,40466,2243,18139,43661
+,14062,5903,11825,22547,5005
+,29310,23153,28977,22580,1788
+,37032,43662,32741,31087,46768
+,31403,12611,36911,48499,28317
+,32163,8801,2313,21177,24950
+,23225,49935,28176,4857,48970
+,18032,5968,13007,17169,41769
+,22660,30838,29655,5261,47474
+,2248,26913,45396,35748,14308
+,25999,47347,14891,23712,16082
+,31454,8525,19274,19963,21599
+,31933,4390,2304,7188,19512
+,32197,17965,48933,9051,38305
+,25415,927,42478,19437,1880
+,19536,46200,14725,37104,47769
+,31058,25289,11745,29391,22033
+,15465,46902,11303,43718,22176
+,22497,36120,26288,22585,10149
+,17285,24572,29099,31994,41494
+,28717,38128,8725,36468,8638
+,4838,34733,47957,7056,43660
+,2087,24897,14418,28758,27213
+,40900,33903,22510,1646,25031
+,40008,21129,43398,20493,15057
+,37912,35264,35561,1186,199
+,47405,13054,45516,29270,47155
+,19773,16095,36745,46309,33902
+,36416,2049,6744,33602,24940
+,2679,2564,43265,44466,5967
+,15857,24783,19898,47770,25716
+,47150,48468,31005,5953,48271
+,43276,19995,6710,12064,33898
+,10008,49897,22882,17776,2105
+,34610,10572,20476,37745,24489
+,13526,12038,11108,4846,5607
+,24833,42750,40724,23206,46663
+,47498,31258,39256,30614,42723
+,39916,40795,43901,784,18195
+,17136,19558,36760,31982,1481
+,44929,12116,22512,8653,30420
+,32304,39555,30253,4156,1286
+,42244,4292,36671,1174,10464
+,39912,37381,29855,10076,34265
+,45279,44230,45072,20192,16734
+,33067,17148,5545,37182,23672
+,39633,47587,19334,34522,16943
+,35907,4074,13833,32012,20674
+,26632,913,43504,45461,11005
+,34520,987,16392,20857,15134
+,1978,9490,928,135,10791
+,28879,7103,22502,47167,33862
+,14237,14416,36556,5689,2097
+,49650,45741,14300,43232,19266
+,40487,25842,39681,134,31272
+,40451,48727,4264,42919,44945
+,42498,32982,35225,22120,18825
+,8955,40684,40845,25283,4194
+,19282,11536,32552,37131,35486
+,44366,38938,7437,26864,437
+,2807,43894,27123,26958,28115
+,14957,23654,45155,588,41284
+,13839,37857,21011,48981,13368
+,20369,18337,3473,23488,22504
+,5979,18847,48853,30099,37234
+,10680,20684,31555,442,1722
+,19619,36528,8634,41541,9508
+,17791,35234,37992,9393,41817
+,10023,25663,31469,31319,7439
+,39770,36477,10944,35628,10238
+,24122,39714,2920,6321,9940
+,19850,37687,15628,40077,41732
+,5051,29350,31105,12958,26704
+,8481,4258,6662,16851,23896
+,7062,34285,4270,17950,7955
+,19005,21287,24790,40042,37957
+,27657,11575,2254,26945,27947
+,19073,24956,43995,12797,10976
+,37521,21249,7913,9585,148
+,40141,4789,44652,36064,27844
+,4563,11983,37915,12282,24746
+,42866,28613,9778,3869,3067
+,23942,16325,36693,33985,38454
+,3721,41855,42079,15300,28261
+,29960,11025,5238,30945,17902
+,47665,10174,22478,14583,40761
+,38623,35914,28796,12505,12804
+,43883,42417,14732,45516,39710
+,26540,1164,26467,49120,22772
+,713,16669,14320,38426,7167
+,7579,20468,27547,13283,10364
+,37371,48528,30501,17970,10698
+,30070,44718,27855,35527,42597
+,1449,35768,35342,4337,7315
+,35960,20232,5039,28293,43809
+,39153,6032,3059,40640,38222
+,31665,31554,19893,31060,19683
+,20905,13370,36802,4086,37431
+,1635,35707,19396,13350,35175
+,14813,43799,46842,49953,39215
+,2855,20831,2109,48012,29338
+,12143,35469,49280,39336,36868
+,49104,34619,43567,35733,23358
+,25006,9530,8048,9047,49107
+,46358,14850,13806,1159,33454
+,28795,13099,17131,36301,17875
+,20621,7256,1199,2285,32564
+,38104,29267,28541,22538,27322
+,30335,17663,12205,19379,31060
+,43496,39082,17624,5501,49136
+,42512,18292,35799,10582,1373
+,34265,9720,9024,47182,12464
+,13174,18534,49820,20536,34529
+,6337,19847,46414,16445,19888
+,25055,22244,3393,43260,35075
+,17741,36588,3916,40682,15145
+,2951,42900,47284,9063,8808
+,12191,40018,23162,14470,7828
+,34678,14962,16171,10000,40320
+,39617,13625,32702,20108,16417
+,35193,33213,23822,29304,37954
+,260,24593,17467,21398,9235
+,49182,30060,28050,37007,41409
+,32230,45645,7063,15731,4650
+,47079,24471,48579,44760,11814
+,8070,8940,8482,2613,30161
+,27854,38906,22010,10889,37620
+,31417,28171,5284,42835,25897
+,13557,22547,48102,8000,33669
+,42308,24609,15390,36383,27768
+,1959,32902,43359,21806,41894
+,14977,33206,3719,14750,3273
+,46059,17631,18862,28084,2915
+,41251,42941,33176,21209,23683
+,26431,26878,11599,41770,49969
+,36545,26868,25277,10542,46152
+,32000,49796,35054,21924,613
+,45007,9996,47681,39155,3249
+,39650,22830,13830,20194,18734
+,49632,2121,13199,16066,144
+,35363,31247,4531,15975,27811
+,37422,26587,12556,17373,11278
+,13867,48937,46468,19052,40952
+,46224,16280,13898,33403,3689
+,41776,4389,40071,48010,5491
+,48427,45685,13633,26404,46791
+,37031,46864,8233,25436,39592
+,41244,49495,4306,12996,5953
+,45468,6775,8880,36204,2455
+,37799,27469,23628,15947,26901
+,8087,37483,44107,27771,8862
+,15578,21788,40495,16712,35009
+,26834,23953,46614,22905,26560
+,23990,34281,15620,2125,47576
+,1567,19693,29017,48828,3320
+,37432,33501,14972,45801,967
+,39035,6902,13999,32944,40716
+,44339,48289,49990,30090,20764
+,42938,2631,11495,13229,36491
+,12259,34320,14297,14484,39719
+,34859,31901,43434,39000,20091
+,10579,37646,43586,15606,35607
+,49097,24728,42846,1762,21824
+,33413,8537,29977,17053,16358
+,31779,20522,42266,7905,37184
+,17892,12891,36160,17475,1452
+,46075,945,476,17641,33041
+,22798,46398,44861,10260,2592
+,12184,29362,22252,43837,7652
+,49842,25676,11568,43043,8711
+,12188,6627,37230,48459,28225
+,15850,7371,27523,47239,12415
+,33588,8378,576,34284,20586
+,30567,16894,4205,20029,9116
+,6820,27242,27064,1433,33198
+,15186,20164,34987,8553,21770
+,13318,2158,45436,23668,14444
+,35049,6227,121,40075,37328
+,47185,10360,46296,45113,25795
+,42262,38963,32603,2368,2989
+,49856,8899,27351,8728,5559
+,15867,32340,29359,40297,16798
+,5936,39094,13074,30025,47136
+,24260,2675,7776,11589,42515
+,49934,38709,18422,25470,10417
+,33140,43778,18226,17706,40234
+,11175,23290,2713,33558,29763
+,49481,28006,20279,24909,5952
+,46664,41001,39198,34141,22560
+,22465,2874,5578,21010,8230
+,8904,5600,44450,17806,1160
+,3116,36876,32856,48233,36402
+,13963,2295,40723,74,38695
+,32692,44411,23536,23845,4579
+,43126,39366,24951,9886,19288
+,25604,22389,24332,20220,31751
+,5702,32709,40073,19747,33743
+,35654,15191,48002,32937,47617
+,43910,27182,6780,22983,43303
+,45847,48124,29379,31764,41156
+,17048,39608,20893,7460,4429
+,20227,36669,40051,40076,25881
+,26128,41751,34280,47081,18138
+,16107,43588,1664,43068,18233
+,17680,26082,36918,49898,26948
+,46325,33837,18742,24245,2333
+,22548,1123,49605,33339,30161
+,240,4047,20994,32487,39359
+,16332,15477,32026,49833,32333
+,33639,23069,39986,4794,20123
+,27700,44386,10620,9665,8123
+,37401,45788,8801,34924,33271
+,38449,46223,33882,40328,33008
+,25808,48894,30062,15233,31778
+,32513,39910,43110,14793,15602
+,44938,33665,42961,36724,13818
+,32752,25656,5384,35261,465
+,1102,32094,40687,29089,30353
+,35556,18076,10826,36168,6642
+,31627,3032,4400,24882,36216
+,9720,21888,38633,44092,25590
+,47941,19788,11049,24763,19321
+,5705,44275,2782,22533,37401
+,30945,19032,46648,2213,24271
+,1732,41773,19552,20771,4678
+,27279,23277,39479,45348,36981
+,5645,28771,22840,9344,43568
+,9619,37806,47137,40066,11107
+,25530,18973,26451,18745,28162
+,18872,2108,24650,21370,24127
+,41842,32901,27383,33926,10369
+,42178,23665,19351,36853,46175
+,12082,30629,46741,19047,27727
+,41640,38920,15689,2478,17848
+,14917,48898,38605,36321,42745
+,43575,37871,39778,29614,45138
+,24236,18701,23438,7976,11424
+,6503,37077,34517,44287,26411
+,5595,35926,3633,26645,17610
+,46718,10381,31558,930,10450
+,29580,17049,2656,18842,35840
+,12640,14856,32468,44082,28495
+,33051,24718,49422,20300,45958
+,12912,6701,45208,30212,30014
+,46736,47076,6175,8719,12347
+,35112,12281,18954,18188,29805
+,24560,30729,10199,12347,33293
+,14800,12715,8552,16877,27952
+,39179,28993,11539,16706,22860
+,7785,15774,40110,18524,2439
+,12278,47565,2141,18711,26641
+,41241,33153,18174,40332,16457
+,2111,38675,39422,39962,4374
+,49682,47592,28903,16375,37075
+,911,25941,15187,2168,19471
+,42709,5754,9394,17775,30324
+,19078,6197,3391,16389,39813
+,39478,40411,14412,24089,41554
+,38233,47161,8773,21304,43056
+,12596,25550,42324,34801,33310
+,45951,30915,5990,31649,45603
+,40799,975,31089,18037,28559
+,16189,42583,8087,14115,7203
+,21657,1628,29561,47347,8229
+,8317,16548,45400,15271,43925
+,44581,40270,11760,10481,6219
+,15602,17804,10902,43019,30513
+,42372,41407,5973,33409,13283
+,23158,15616,29170,23418,24767
+,21854,4852,18713,45719,29753
+,14615,35187,22816,12592,15703
+,42139,48932,28236,9388,30875
+,34928,18347,49248,47633,1324
+,23560,49498,19763,20832,19838
+,19527,13555,14687,12751,42422
+,2839,11322,32393,30038,44730
+,17734,42561,32784,3661,21774
+,9342,22363,35396,5793,35316
+,10479,39484,9035,19542,29750
+,8141,30425,20040,40136,14855
+,7043,33635,12987,24211,43986
+,27601,392,48574,27983,11185
+,18947,36610,35612,37522,16185
+,31032,23301,13892,7822,42200
+,42357,13113,7806,33396,3704
+,26308,7391,1568,25184,36558
+,46954,15978,33938,24583,14086
+,43819,42555,28218,22555,9252
+,30655,33959,22806,34226,36069
+,43716,43303,48635,7994,17156
+,36866,34101,26219,4320,25600
+,38763,18183,28709,32072,32488
+,29842,48659,6288,9625,21132
+,25002,17328,1543,37386,2754
+,2780,45786,42660,6273,17219
+,32675,6920,11672,45349,28415
+,15350,41769,36471,23616,49220
+,19113,32975,10196,19818,9723
+,22121,16714,11841,5493,900
+,37638,48357,46624,47136,48322
+,9992,27492,47774,193,39302
+,14256,5408,35586,7136,39742
+,31112,46826,2572,22981,37879
+,31061,6301,16666,19109,43327
+,38440,13225,3927,27464,19250
+,41437,31483,2342,2394,15791
+,16300,7985,10660,3802,3625
+,24194,4811,30368,5045,33665
+,31604,21112,16086,23236,41437
+,43020,12700,23602,49003,12249
+,34135,36943,33939,29882,48779
+,44375,16849,40119,11980,12235
+,4191,29122,1994,30346,456
+,44921,5998,48864,20849,15720
+,4510,39504,41873,12432,16771
+,23671,11546,22460,26509,20820
+,47087,3531,31502,27975,8092
+,44531,6239,7824,12936,12528
+,16504,42827,35757,36439,41836
+,38663,45947,45762,20486,21094
+,8527,28317,41142,49638,1692
+,26969,24308,32405,44603,18634
+,2586,564,43085,40289,48582
+,35738,8844,1310,46243,27181
+,6461,43951,16668,16132,35110
+,49293,37260,8731,42898,32348
+,26636,29815,4056,46158,20665
+,33916,34084,40957,26072,22058
+,37804,46103,23721,20125,22488
+,36049,41876,7714,15933,19603
+,39108,47662,7665,21293,3750
+,31467,5864,20343,22230,47923
+,31128,745,47850,35287,46597
+,29020,19323,20674,22426,8318
+,9716,34484,18126,49009,33894
+,15341,26873,36308,31397,7096
+,18851,8660,43775,45520,14091
+,13558,26285,3780,9251,21223
+,8954,32787,7224,33952,46733
+,5117,1622,25318,46135,24885
+,34426,36946,4067,29648,44400
+,34896,15745,25570,22265,18583
+,18721,21924,9203,17465,24660
+,12570,27272,15800,36593,45455
+,25289,40180,13355,4268,45833
+,5094,21732,11213,40243,13744
+,43418,27836,41475,25295,40555
+,27437,17730,20927,3063,3905
+,24954,45592,5028,48546,10376
+,9566,49922,30030,35433,29519
+,10229,22411,34406,41561,3032
+,30371,28433,31734,35316,4581
+,49801,11047,24998,30241,49760
+,12733,23221,26199,30813,23775
+,35765,31123,22344,19566,40832
+,45631,48109,48700,9332,16011
+,6642,7667,30053,45557,2815
+,13303,46841,5414,49153,36881
+,43338,1237,8678,7901,4103
+,24518,7042,40999,38778,12338
+,6651,6119,10188,32093,11347
+,24127,10475,37841,38958,9524
+,44778,46231,24529,19527,21490
+,21900,30089,34405,25251,39994
+,43639,11430,32526,14706,20173
+,41240,49606,3058,13682,36963
+,33225,31199,32373,38076,30315
+,34910,22736,26562,2126,46326
+,43567,37337,8428,31114,32383
+,44391,8365,30494,14093,33583
+,22236,11863,17227,24875,13420
+,12115,18666,14585,4037,26300
+,11632,44727,16141,2225,28099
+,19164,22858,29377,20876,47588
+,30660,24652,32686,15991,44898
+,30832,28156,34157,25446,45748
+,14453,18939,19693,32345,21682
+,9910,4377,27055,7346,7235
+,12348,16146,21668,23791,47270
+,32054,9806,32017,26504,40135
+,44502,33831,32630,10838,13468
+,4509,32281,43329,47267,49349
+,18154,34030,49060,49706,16716
+,38181,5731,20396,20678,12752
+,9674,35586,16179,19077,13757
+,38081,34323,17794,30364,30106
+,46318,30319,4397,33497,26471
+,13966,31667,21238,3698,46327
+,39072,1905,48726,10735,28013
+,41626,44693,2575,42007,42201
+,2547,37792,37012,18770,42784
+,22863,13652,27876,32280,36062
+,38734,32693,25264,15159,38261
+,39271,17559,19896,5110,7567
+,43091,20208,41861,20293,24539
+,33523,36757,49277,2995,33519
+,18996,49276,12899,9123,17517
+,15869,17674,39027,45582,23066
+,42337,47592,37237,27940,28584
+,36529,32569,28705,48973,22584
+,46257,24805,16087,45115,9068
+,42525,16203,44549,46564,27538
+,4592,4922,19048,29746,17749
+,39858,48463,49199,16257,40527
+,13348,12063,43079,5904,44257
+,46453,42321,42853,31387,34075
+,27063,9969,19544,31652,42814
+,20601,3857,19996,17285,23770
+,44503,47343,11437,23577,33789
+,35417,1732,49201,6939,24444
+,8841,40748,3577,10958,47118
+,9291,22659,48306,15493,30968
+,19243,34828,21861,37499,33871
+,45534,4107,13507,38942,40742
+,17891,30325,44834,31734,33720
+,11241,29526,37204,32556,34224
+,45218,41889,34922,27921,44020
+,40121,3127,31608,13418,7607
+,8392,1388,43731,17170,27055
+,26367,24622,1268,15784,503
+,20267,46668,8420,12755,34718
+,4322,18886,9363,36090,17818
+,31242,47092,25298,43199,26997
+,46910,6974,406,21888,49939
+,19258,35284,45244,45781,11899
+,23974,18134,28028,30682,27865
+,30272,6413,42885,38053,29628
+,17845,47963,35734,21493,14870
+,33485,45553,7535,14481,21663
+,23789,19971,22232,28672,26993
+,13762,43023,49130,33173,19876
+,19296,41465,24487,36639,7387
+,35561,12463,8426,31719,28258
+,29425,34812,27198,22720,48385
+,26352,28520,24773,27210,19702
+,39070,29707,19834,48749,23976
+,28949,19568,38651,36841,23811
+,37045,31253,49001,1993,1281
+,25100,13474,4983,25778,6122
+,38886,16451,551,27179,18865
+,48374,31685,40809,20341,18580
+,36094,41462,20050,11623,8528
+,40815,46829,32528,28273,41372
+,47708,13377,10592,14605,21390
+,33090,33014,375,48140,5002
+,40046,37882,1386,17971,35199
+,39587,7470,48596,46261,43639
+,7274,43475,31640,26309,16126
+,14791,28025,14663,19307,20700
+,8905,45509,28094,29060,23658
+,23436,12008,49760,6829,31843
+,49504,23620,29587,17874,30650
+,43927,4908,19856,36209,16631
+,42047,10850,14704,19480,1172
+,12601,25494,4647,16767,29336
+,47896,20066,43426,22070,39860
+,26911,26653,39553,6336,923
+,22240,38618,33717,47226,23303
+,25231,19457,23162,16317,2778
+,34683,14974,33795,14453,1886
+,5709,39030,9452,49179,49783
+,9248,41262,33893,47804,5936
+,19374,24854,23078,11735,24294
+,41692,19446,32572,23893,33111
+,2536,5228,9203,32166,31729
+,38010,24866,4777,6098,4989
+,15934,2429,33997,37977,48625
+,20465,1403,12542,12546,1820
+,27103,12502,17748,5461,25037
+,9785,20843,48829,41222,11327
+,46972,14520,4416,35347,15772
+,9555,36165,12404,32499,22899
+,7278,1995,11042,44395,35722
+,228,35383,34240,36312,18605
+,20,14803,34116,21073,36221
+,4372,18426,27267,4443,42110
+,10306,4190,6558,1738,33430
+,23766,22120,49197,44749,14047
+,7768,30114,29263,31588,13187
+,29876,6532,22708,32086,41416
+,30057,36871,26339,26805,15078
+,35537,12562,21077,15074,17720
+,4855,13054,5518,46996,49402
+,31109,25273,35767,24098,18902
+,16230,48296,39317,32563,12870
+,25188,40143,25593,34296,44017
+,39208,44813,49006,4547,45163
+,46870,34439,24932,20349,42242
+,22277,37304,28358,20423,1143
+,35181,27584,18187,1554,27927
+,35284,17651,12285,11949,32851
+,49536,12335,38476,9980,47976
+,6721,36611,38610,47983,23912
+,6183,47200,19313,43478,18460
+,38018,25873,46345,38459,46755
+,25869,8957,46960,4075,33090
+,25853,46360,104,20385,19797
+,22505,20176,43159,35523,29616
+,40289,15892,20596,36588,44662
+,38767,42995,40760,15591,31548
+,23404,9986,27136,39307,5052
+,48713,49691,26401,28576,8352
+,29151,42939,40409,18737,40092
+,26810,44312,32493,6553,21507
+,5799,34391,17022,236,28931
+,26322,9983,47507,30316,33859
+,1266,24295,41508,23856,20789
+,45527,31325,20587,41468,40665
+,3493,17577,49608,19237,47723
+,18297,34303,12906,44633,40005
+,40829,33020,41711,25011,30643
+,732,12121,43534,39069,13436
+,32299,6776,15570,4481,48925
+,5958,38221,35196,16400,41610
+,17002,7739,47451,20597,23255
+,13189,41203,37692,20301,2337
+,26104,49801,33429,44614,35880
+,30384,9860,2700,46984,19802
+,40553,30850,18797,1353,19321
+,25039,39633,41926,11060,24936
+,17095,13753,49631,37928,3695
+,6144,27335,11547,35152,47271
+,29920,26832,31680,28248,49929
+,479,43919,16274,37906,46148
+,21670,4185,22588,17739,33910
+,46056,16078,31073,33987,38000
+,2983,40718,47494,46772,2843
+,44208,47633,41078,9385,15758
+,45693,15526,7257,22750,8095
+,29968,7798,29731,13090,36921
+,30821,41359,10825,10400,43943
+,7310,828,33122,27876,36880
+,9377,44480,17309,20100,38013
+,15089,30658,7681,5313,12445
+,4064,26464,19617,41050,11701
+,26262,8170,31381,12217,907
+,35505,2768,19599,42007,34278
+,33710,12135,48317,6212,12645
+,30018,7156,17526,44207,24742
+,48668,3099,28125,5846,23777
+,3491,39122,36564,22225,13829
+,9628,38687,45331,45578,10498
+,47696,8197,46841,26968,21506
+,34152,19403,30894,26313,13267
+,42082,15668,8078,23785,44613
+,19981,25285,17430,29168,27968
+,30688,28749,36315,43521,33311
+,8042,2316,38235,3458,38972
+,13939,4062,36942,22730,19209
+,34118,26038,7385,30877,17058
+,6149,48259,37457,6147,46352
+,46039,12202,9992,5148,49081
+,20490,29215,43500,16298,14752
+,5889,23488,41672,48242,5247
+,24045,46005,31106,31918,3151
+,26916,17398,29447,28036,32018
+,990,4880,46189,48731,40185
+,32095,2448,26208,27964,3006
+,4428,15493,24589,40443,24876
+,18243,13770,31526,32509,22107
+,13940,27913,35245,34765,16493
+,5320,7193,21265,19135,20261
+,2999,41163,6974,18934,20849
+,21782,41076,38808,3983,18279
+,27417,23768,14748,48791,22544
+,24212,15570,43505,1993,24028
+,14142,33837,14899,1706,13572
+,43323,20207,1291,10371,6597
+,21219,10081,18833,34979,39712
+,43653,28372,4819,21136,6904
+,3324,29446,38153,42426,19675
+,30195,28612,36051,37679,35914
+,289,34161,25114,47888,33329
+,18351,8407,8768,29406,45370
+,14400,29658,45244,16044,27497
+,15058,20894,1752,28446,1199
+,2312,31933,8984,41288,20628
+,38045,30827,7681,16307,6993
+,35066,11943,46137,5448,34727
+,20976,47339,7117,32989,29172
+,13147,17084,1645,6979,7515
+,318,49571,37753,34405,23044
+,19399,44,24233,35400,15978
+,35673,5917,19362,14633,10040
+,39640,46885,48574,12658,4033
+,2189,27462,12822,27865,21276
+,19482,34765,27998,38353,36644
+,6908,33600,45387,2725,17114
+,31110,10923,45339,35989,8942
+,40881,4196,5166,10497,35707
+,19272,21853,36992,22867,7031
+,22610,21192,8194,9001,26897
+,6200,47766,27585,11883,7160
+,13785,21072,38527,26604,46641
+,47068,31568,35988,22133,26683
+,48888,5698,37429,9070,46832
+,3544,7669,12662,10023,46858
+,23504,31932,6733,46583,610
+,15686,33385,49454,21356,16605
+,29753,27868,13442,48931,21590
+,35823,29108,4887,1519,47700
+,25340,19316,12287,28743,12751
+,41798,44823,2797,34583,47025
+,9698,15459,27377,43678,48055
+,40653,6814,24173,42563,424
+,30210,21870,33312,49944,46693
+,41765,3443,46570,28462,8163
+,12192,3495,12633,35431,1330
+,35302,10587,29892,32812,45832
+,9824,43415,16590,39437,14762
+,14350,47518,10196,18999,8412
+,9221,36016,30874,16076,6021
+,34530,11467,23228,2759,47523
+,7306,30462,31772,46000,29779
+,29210,7040,38418,46742,42077
+,48967,20879,7713,37019,49463
+,20257,48292,47036,10526,27390
+,25142,25671,2621,13881,22975
+,20107,20224,20969,40911,27
+,48112,33140,3654,36888,683
+,32435,3658,38201,38496,29146
+,49587,10770,7460,36716,37543
+,44763,11019,11090,49678,811
+,20020,49325,47451,6112,42269
+,883,18743,9896,6101,38315
+,40743,46905,20892,20627,9570
+,14434,33995,27396,6666,39163
+,33656,13794,36033,36659,27003
+,40695,42655,8934,22660,38126
