OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,8663,8581,7054,3449,3370,8409,5483,2362,5693,7172
+,2787,5731,514,1213,2209,7455,5375,8038,8535,8676
+,9385,7411,7222,3714,5121,3291,6911,7171,5628,3537
+,7990,2684,2067,6872,8515,7010,9362,4166,9945,6907
+,2313,4394,7248,4421,7704,1924,9143,7561,5098,8226
+,9117,5172,1269,7311,8339,3537,329,9697,6286,2505
+,680,9318,9327,881,9151,1697,8281,6776,7149,54
+,2968,7393,4667,2612,5719,468,6356,6292,9147,3648
+,8828,2686,4460,9679,4741,5779,7633,4482,343,5096
+,8675,8073,1614,4596,8417,8406,5836,2844,7344,5180
+,2770,9291,949,888,1312,3177,1926,4389,9309,3456
+,7246,3816,8185,7821,3907,5051,9936,7454,5394,1767
+,3817,588,9718,5144,8235,6568,1125,4367,1238,985
+,5384,7593,6490,3014,3671,1444,3796,3597,6362,560
+,653,418,2691,7835,6986,1972,1010,5540,9345,7098
+,9955,3992,7424,7343,5451,6398,3034,3299,9645,3688
+,7217,2616,3771,2841,8468,107,4389,5383,9426,7064
+,5786,9335,2461,7292,1034,3662,7027,4582,7274,8012
+,307,3659,9979,3238,1774,622,3451,9341,3714,4501
+,1349,4470,6846,9874,5537,4083,6735,4334,8270,5498
+,9780,7721,3316,8792,8122,5442,4614,2527,7468,9497
+,95,9841,6982,1698,4600,8300,8639,1233,1858,7433
-,629,0,0,0,0,0,0,0,0,0
+,5451,4465,8349,3479,6785,8041,7039,2630,501,8808
+,4750,6188,2285,7349,9202,723,7183,1776,3941,9696
+,5221,3704,8387,1767,6642,1133,9258,5835,459,2004
-,641,0,0,0,0,0,0,0,0,0
-,118,0,0,0,0,0,0,0,0,0
+,6983,9977,5437,5096,3154,7800,8109,2892,3364,8193
+,5499,2748,6391,8453,869,3364,712,9320,6228,9855
-,657,0,0,0,0,0,0,0,0,0
+,5627,9689,1322,1823,2641,7546,935,1697,8248,1545
+,7341,9291,9599,4347,9568,1347,2128,423,3746,1523
+,7309,4769,911,6694,7569,8507,2266,7743,4643,4814
+,2985,4756,623,1882,2110,3325,3100,1594,4289,9627
+,8183,6730,317,7851,3832,5452,2883,4049,6445,3550
+,9623,9778,5528,3328,8190,699,9615,5544,175,3460
+,4413,6288,9626,123,6554,6820,1689,8306,99,5596
+,6294,8610,9313,4083,4049,7365,813,5827,2930,2685
+,6701,1829,2326,3257,2080,5856,8221,2129,2004,9584
+,5998,1577,2548,6908,431,8731,2129,6411,8144,9045
+,9400,6912,6876,6438,8905,7121,5393,9155,9738,4632
+,8856,308,6921,1391,3777,4885,7307,2248,2029,1624
+,3273,2094,5738,4967,8210,773,2362,6624,1499,8202
+,3519,8613,6199,4768,7496,2081,3338,1034,3512,2559
+,3560,4020,4500,2794,6353,8651,4267,1630,5808,9854
+,3772,9775,8741,8392,8400,6964,8957,8508,7327,18
+,3018,9284,412,1832,9954,867,4432,8827,1,7806
+,5033,5218,1324,2866,9367,8784,7240,8024,7276,9337
+,5144,9407,4468,7913,2942,9394,7572,6639,3765,6460
+,3992,2080,4431,4760,490,9557,449,8072,1567,266
+,5863,2863,808,3691,8842,7044,4170,7027,3080,1035
+,6559,3075,121,2977,4020,2891,3208,153,8644,1782
+,4237,5749,6509,6745,3364,8972,2765,2142,3146,6387
+,8282,2284,3494,7219,1907,4206,3393,8744,3063,3626
+,5535,2281,903,8038,4452,6892,5269,1182,3186,4561
+,105,7238,6217,3999,9047,442,2636,5399,5837,9510
+,9890,7163,8201,6852,5163,4562,3788,7529,8850,8386
+,1238,7441,1540,6330,355,429,8151,395,6030,10
+,7445,5160,7915,9274,6672,7572,6965,5099,781,3738
+,7063,1342,9109,5071,6334,8250,3880,5862,4807,5002
+,5099,8053,5757,7198,3097,5095,4880,9269,5654,3620
+,7042,7250,3229,8059,3734,9355,1846,9878,1630,3139
+,2941,2171,4338,2313,7646,5079,3174,1443,1157,3523
+,9725,2736,2328,4485,2874,6784,947,967,2664,3783
+,8067,9858,9586,7920,4150,276,2041,3165,3786,9614
+,7704,4733,4161,9055,8646,5501,1317,3549,972,8520
+,4458,4462,6147,9859,6634,3177,5481,3364,8486,338
+,8499,337,4643,3268,8053,325,6260,6994,4173,3662
+,9561,9980,4256,9044,9674,3519,581,8738,4138,7800
+,7269,3132,2748,3728,3357,6598,4743,6381,2114,3205
+,4888,1684,2524,4618,4591,2131,7148,6803,9601,7240
+,8974,1996,6594,9077,9410,7134,9077,1222,2124,2977
+,335,1568,4303,2898,3746,1507,9144,5421,9908,1963
+,9338,8242,6018,740,8962,9133,4936,9023,4784,490
+,408,1940,3092,935,8660,904,5671,9953,1401,8968
+,1146,6599,4906,4564,9634,2628,6971,4376,6153,7899
+,6098,454,5935,4463,7285,3703,7806,8237,7966,1026
+,2725,4348,3293,5327,1738,3362,2370,7150,2088,8730
+,8274,6967,5534,3080,3352,6928,6299,5487,670,5583
+,3559,1595,5565,5038,9605,4875,6585,4972,9227,3058
+,8557,4653,213,1284,148,4680,8245,4919,5604,2274
+,3995,9514,6306,106,6167,6851,6128,2349,656,4949
+,9778,7974,4834,7810,7828,1865,2984,1285,4668,6219
+,4709,9462,2695,704,2708,7340,2442,3505,7890,5040
+,483,459,5265,3081,791,255,6721,9605,9902,7086
+,4440,2072,6435,1904,4782,1051,8480,7928,9103,1268
+,2416,2756,3172,4028,3026,501,6835,1979,6367,3402
+,8951,2757,7773,3100,8327,8800,7133,1085,5904,2800
-,64,0,0,0,0,0,0,0,0,0
+,6964,8227,5790,9695,2557,8412,9361,8251,5860,137
+,9824,1394,5976,5962,6822,89,7872,6910,175,2265
+,1174,7293,5212,1467,9817,1321,7226,5435,4186,9778
+,4824,8768,9425,2998,2815,4150,5214,3049,514,8801
+,4053,9911,2862,8563,8484,8538,4764,957,1906,6513
+,1357,9482,953,8023,1970,1288,1231,22,4949,8367
+,8547,9149,1077,6924,7269,7025,5412,275,7257,7258
+,2245,1153,6678,3825,2462,6599,4039,4717,4971,859
+,6336,939,7863,4986,7403,3377,3807,3286,3626,6705
+,2225,566,5740,1981,4166,7640,9458,293,5508,310
+,8961,3943,2308,4368,1957,1410,5854,4497,7195,5922
+,3891,9343,5250,6738,4657,6951,240,1306,6806,8812
+,7022,2601,2175,4605,8801,5822,3309,6215,4278,7811
+,4055,3965,2527,1726,2242,1201,6555,2143,124,7895
+,6977,2558,958,9714,2670,989,9807,9236,4239,6805
+,5929,5400,2936,6000,1335,2322,3063,9799,9218,6546
+,6047,7175,2341,4253,2615,1447,4364,727,5478,7618
+,2172,7566,8999,3297,9844,8003,1194,5806,8075,3088
+,2812,5048,3612,7652,7370,595,3481,1779,1369,488
+,8946,7964,3146,5724,2151,6538,6122,3541,1497,4425
+,6272,3010,9392,673,6985,3211,6623,8633,2688,6586
-,40,0,0,0,0,0,0,0,0,0
+,5815,9047,4775,6249,7420,1107,1935,396,1777,7627
+,6558,7986,4838,9433,5719,6635,8852,103,4194,2685
+,2737,6461,9107,640,4367,4829,8174,8153,568,2282
+,727,4842,1094,9819,7506,2189,4991,8275,2422,1679
+,2122,3618,4498,2448,2385,5753,2598,5274,2264,3306
+,2098,4823,9704,43,7,1179,9424,7452,3112,621
+,4106,4362,7035,748,139,7464,4158,1889,4984,6638
+,7781,3360,1542,7812,8989,5630,900,8816,4076,9968
+,3745,9832,1540,3093,2899,1801,7078,4115,4945,2960
+,9609,1835,1350,3721,9892,685,3246,4334,5531,2065
+,2086,1160,2332,6576,4243,7893,3808,4489,5215,239
+,3928,1215,3466,4081,2800,2935,7612,9987,4874,5853
+,9805,2271,9848,8996,4034,2061,4932,3444,5699,600
+,4562,6127,5322,3940,4225,64,4885,4246,9892,2310
-,412,0,0,0,0,0,0,0,0,0
+,5219,3981,8591,9061,8464,6532,1126,1730,1792,9544
+,5794,7110,3555,1313,5685,2374,8541,9383,7034,4485
+,9591,481,429,5724,6881,8261,6908,9805,9001,8948
-,179,0,0,0,0,0,0,0,0,0
+,8285,1983,4054,8252,1797,3169,1514,6469,7785,1835
+,4481,6036,1718,5310,6560,2051,1702,1342,2863,1351
+,522,1767,8706,2539,5105,6248,466,1908,369,3777
+,3901,5417,7582,877,7540,901,5400,2058,4277,3444
+,9542,1174,863,113,7220,8150,8414,9179,7717,1966
+,6909,8279,473,9800,7819,4424,3569,7984,9675,2330
+,2603,2910,9086,7866,9868,4465,9599,1818,5059,8955
+,9881,2376,2081,5984,7427,6766,1873,6004,7235,3958
+,9042,8798,1199,8428,1814,8616,6732,9205,1001,4274
+,8945,9282,729,1021,4843,5931,861,9992,2556,6181
+,2166,3648,4390,5484,8410,4259,2681,4457,9831,736
+,3384,7117,1079,1715,6462,7659,144,6056,1676,930
+,4806,6482,46,9213,5653,4712,7965,7224,3933,3251
+,5087,6746,379,1187,8215,6940,1684,2560,3013,7703
+,6176,1901,4053,2227,8557,8510,6465,5606,5372,1998
+,4762,9957,6388,4771,8087,3573,3636,5811,5059,9933
+,7645,2881,2794,1404,7816,7225,2160,7255,3037,3383
+,202,3954,8271,7990,1344,5176,4466,2827,4349,9633
+,6270,8004,3256,1469,2681,8604,7656,5209,735,3084
+,8872,3475,5495,3614,7652,8290,6139,8917,6674,1503
+,8271,7629,1808,1174,1042,9174,6673,3449,7110,6920
+,1718,203,455,4972,2892,3922,6456,1041,5723,5704
+,6510,5299,2305,160,2017,4270,8237,5329,3567,9095
+,6994,9125,9337,7202,9711,5268,2411,7861,749,8375
+,5094,7294,8348,5935,2892,6288,3351,1927,3576,3676
+,6419,456,9581,5660,7433,9977,5719,2377,171,4149
+,5071,6693,8054,610,6638,2257,5979,6093,7886,5558
+,4228,2013,450,8752,695,1762,7030,4295,306,8070
+,444,1714,5540,1986,3757,1112,787,7513,1583,2686
+,3070,5750,3345,8800,4792,9671,59,8119,5643,1883
+,2996,38,3727,7885,9739,1379,1445,4609,7435,8332
+,8716,8821,4587,492,7194,1932,9475,2164,7538,2227
-,212,0,0,0,0,0,0,0,0,0
+,8228,4961,1466,3618,1246,4841,6167,7189,2239,6838
+,2749,9635,1248,4954,1284,576,6454,9992,9074,1049
+,1467,6867,8383,3011,6841,8901,1801,4520,4831,1650
+,4035,6460,3934,4316,4466,7777,2339,9713,9387,5547
-,958,0,0,0,0,0,0,0,0,0
+,4211,5901,9140,1947,6826,5782,6537,3256,3767,7250
-,422,0,0,0,0,0,0,0,0,0
+,480,5768,1031,99,6523,2579,6357,3849,4564,1766
-,318,0,0,0,0,0,0,0,0,0
+,3072,6909,905,332,3423,6162,4977,8189,6365,1481
+,6454,6765,4634,8312,8420,9352,3155,6496,3100,2147
+,5585,9546,2731,1529,9685,3076,3895,1014,4488,4040
-,331,0,0,0,0,0,0,0,0,0
+,5220,6519,5233,7403,8160,5630,4169,7795,4182,3090
+,6929,4102,7048,9660,619,8838,8852,7492,6159,5221
+,2707,314,4882,3445,1866,1628,268,9014,5528,3437
+,8378,1586,3254,9689,5368,4883,9523,3300,8199,5118
+,5737,4934,5780,2401,3197,5531,3578,3108,2174,2289
+,9884,8136,4521,7602,2661,9270,512,4805,730,846
+,3633,7125,4947,3915,9196,898,8305,345,466,4934
+,7705,9426,3689,2636,5039,680,7093,8885,429,4850
+,7152,9728,5688,8761,7141,1406,812,3430,8462,4605
+,4357,5941,4136,6856,4314,6007,9089,4839,3148,1318
+,5276,9608,7116,8214,3666,7451,6796,6498,319,5043
+,9962,4889,53,2901,7020,4845,9981,7940,7952,2099
+,7687,8872,6530,1416,8198,9091,8577,1699,8607,8669
+,794,5772,7068,243,6139,7051,9518,5576,2905,8491
+,6511,5355,7276,5109,4355,2517,6734,3338,9888,8990
+,7349,9262,1459,1737,1206,4088,7267,735,9305,9555
+,9786,5833,356,7554,1282,5848,9552,65,7753,6892
-,572,0,0,0,0,0,0,0,0,0
+,5182,9293,5428,7013,2510,9398,5465,4805,3935,4680
+,9109,5597,8885,497,5845,4467,3252,9865,5921,2252
+,6307,4976,9948,2341,4777,9540,4593,9578,3860,452
+,6358,6757,4601,9621,2284,3896,7304,5359,545,2514
+,8586,3920,7986,8566,5924,6202,4627,1746,7276,3565
+,8432,7953,3313,8725,5715,8184,4512,5027,9945,1076
+,7981,1630,5903,7474,510,2585,7463,9947,2457,1677
+,477,3630,8041,5909,6507,3007,808,8403,6530,1674
+,2236,9931,2207,6045,7114,1328,2254,8420,2253,6746
+,5787,22,1620,9401,7326,1597,9720,989,9192,1349
+,2311,5819,5290,91,6205,9004,9242,2575,8158,9692
+,245,4340,9877,8753,9844,8414,1878,9820,5169,2558
-,815,0,0,0,0,0,0,0,0,0
+,6523,6496,1629,8024,2526,7244,3800,8414,2108,8117
+,1131,1589,1545,2355,2293,7087,5535,5070,5112,3607
+,8890,3292,7340,6110,3070,5832,6026,406,1033,8722
+,9941,2216,1132,965,7564,3499,5515,4867,45,5432
+,7850,3049,8423,8604,2295,6178,7055,3831,6308,4914
+,4528,9439,626,8196,2149,8120,6216,5011,3821,8743
+,2109,4250,5602,2282,439,2008,2691,6302,2299,1153
+,6096,6764,3047,247,8669,3872,3774,2369,6975,1714
+,9353,9184,1352,7040,1848,4760,4998,4314,671,3501
-,220,0,0,0,0,0,0,0,0,0
+,8316,3027,1044,9097,1906,8282,280,6699,3611,9032
+,7562,3108,5127,2686,6600,5887,878,515,5238,8526
+,3268,9555,4458,5385,5963,69,5916,8235,6023,695
+,2791,9669,2929,2992,5435,5093,8945,5837,999,1274
+,2745,6718,4433,3832,9980,2811,226,8650,467,5948
+,6655,7238,6710,3791,152,8263,9038,4427,6746,2242
-,15,0,0,0,0,0,0,0,0,0
+,5008,2078,6855,3616,2162,9588,5977,6360,3041,9055
+,9654,5145,4082,5530,6616,63,9991,5613,5115,9477
+,4867,5248,33,7675,3399,6040,9664,6828,1818,6854
+,9099,1250,2094,9805,2737,2851,6554,8920,5363,53
-,961,0,0,0,0,0,0,0,0,0
+,9671,1144,366,5875,648,7085,6144,9906,6532,5489
+,3344,4759,2757,1239,5389,3603,8237,520,2595,801
+,5042,9470,6586,6717,1779,2519,3907,6748,6242,1596
+,9588,2480,5120,4048,6691,3516,516,4341,2809,706
+,2788,2434,2843,7450,8485,2662,8226,6486,7825,7783
+,8926,5972,8088,9968,1415,9311,4275,3892,4630,2349
+,7530,6093,6247,1649,3814,8901,5169,4749,5970,7681
+,6251,7382,9808,7670,5692,8841,7267,8909,1296,9842
+,9539,5456,9924,5575,3526,4675,1362,5508,3208,5063
+,7033,3707,3373,2141,397,9319,1465,8839,6676,1482
+,4884,3708,1914,9134,9267,291,9857,8614,2436,747
+,8289,4173,4440,1082,2593,3110,8115,2438,9835,6289
+,7456,7505,3606,9049,8624,8997,4841,9124,7663,8826
+,4881,39,994,4502,9626,4916,3252,4904,2006,7958
+,1071,6721,9578,4247,1336,3870,3905,3270,6095,5179
+,7466,6443,478,2918,8333,4652,6440,8629,9186,1014
+,2132,4508,3379,7648,6718,4745,4401,4781,9319,3600
+,6126,6595,6910,2176,9029,6296,6965,7040,6720,3066
+,7024,7400,6378,4911,128,9094,200,9405,2836,5237
-,312,0,0,0,0,0,0,0,0,0
+,4910,7731,9457,9340,1500,1238,1910,4344,8055,808
+,771,257,5488,8836,9790,4342,1392,5258,7671,7880
+,5715,177,88,9799,552,383,7055,6003,1470,346
+,6221,3995,1130,2961,8119,3938,8010,6441,3147,983
+,1907,6849,3299,9342,3725,6891,9618,4853,6077,5923
+,1789,4146,16,6037,3658,9669,8013,4063,9091,3285
+,2035,2656,4302,1175,169,7133,4844,6405,1095,5123
+,1884,4326,8231,661,6595,4102,7624,5282,504,1220
+,6092,8885,9673,5096,5122,5549,8032,4123,7490,2473
+,9241,4925,662,7497,7063,102,5466,9203,7162,8620
+,1813,570,6887,282,8316,5551,9462,4411,6552,5516
+,6891,6678,1108,2851,6901,7292,7697,4823,7993,4280
+,2011,4854,6424,116,3187,9855,9942,1350,5554,2323
+,283,3798,7952,3169,5660,1822,3146,8160,5276,4226
+,8350,7527,5775,9370,740,6325,4408,8926,2038,2986
+,4944,6050,9658,3976,1481,1434,4576,2492,1192,7351
+,1189,7248,8194,5566,8110,1381,4469,1540,1848,5928
+,5307,9398,8909,6487,5469,9090,8808,3155,9260,2834
+,953,7408,2879,6144,8463,7622,7675,9410,2247,8095
+,7277,1949,6349,4982,8566,6682,4945,5796,7880,2583
-,39,0,0,0,0,0,0,0,0,0
+,7119,2357,4240,3123,3252,8404,1426,2638,4714,8253
-,375,0,0,0,0,0,0,0,0,0
+,4176,9662,7444,4566,2714,435,648,6008,7534,3848
+,4117,1802,1647,1994,1392,4994,2668,2696,9685,9579
+,2501,4820,326,7741,8302,4608,4482,1409,826,4975
+,9198,9809,6168,9488,6558,9158,7182,7982,7779,4675
+,3679,4773,9567,6135,3924,4663,6341,4030,2817,1916
+,7782,6352,4132,919,36,55,3226,8809,9757,5425
+,6168,6097,802,9582,8627,6728,1262,7834,8290,5993
+,5640,1323,4038,9097,258,7875,3487,6693,4839,2443
+,7762,6732,1057,3474,1739,5800,4995,1470,7367,4490
+,7623,1405,8615,154,4537,8527,6690,8643,7653,3585
+,9662,9660,1749,3678,800,5857,3763,4225,3061,3270
-,140,0,0,0,0,0,0,0,0,0
+,1400,1645,6130,2236,6304,4571,8852,488,7948,9841
+,7758,912,2087,4033,8038,4031,9597,7227,3278,8433
+,3464,6615,4735,7817,3520,7544,4730,8075,4429,2259
+,3551,9551,1059,4583,2069,1207,1442,2868,7549,898
+,9081,9939,9590,3251,2811,475,3417,2370,5520,6728
+,5170,2851,1783,6470,5376,9125,5371,9268,2784,2176
-,30,0,0,0,0,0,0,0,0,0
+,5804,7818,1546,8471,1688,9216,2741,8975,3304,6178
+,9987,4690,4344,4912,62,9954,5789,6399,5595,9560
+,2690,5626,868,200,4744,9527,1318,419,4970,7067
+,4554,3872,7846,6842,1664,7611,8675,7936,6631,1160
+,2822,664,1352,2442,1793,2867,1531,8423,1650,7299
+,3994,2279,1993,8148,5620,9553,8962,1171,3101,3441
-,7,0,0,0,0,0,0,0,0,0
+,7575,5462,9745,1038,4316,2560,958,3540,733,5033
+,6190,160,9198,5355,7666,2355,3372,607,8072,2467
-,721,0,0,0,0,0,0,0,0,0
+,3838,4053,6229,6596,5358,3553,7095,8386,8966,9418
+,9230,167,8914,4409,4327,3184,6305,4027,8544,2319
+,1064,7928,2308,5905,5571,1917,3167,25,3861,6416
+,2461,1001,572,1532,1628,4168,9916,1334,5722,6692
+,7811,1377,6743,7169,6837,3673,2441,631,7374,4947
+,2155,2213,5432,7903,9697,3491,7140,6342,463,7417
+,5195,6734,8869,8523,1299,3577,3589,1436,5640,7939
+,3031,4326,2310,5116,9782,8668,9006,868,8463,7742
+,3565,4925,3852,946,5032,7499,2427,7732,5864,7727
+,7479,4319,8361,5161,1497,5164,7060,4041,350,8341
+,2569,3658,187,660,8698,407,4279,3717,8249,8752
-,99,0,0,0,0,0,0,0,0,0
+,4414,4807,46,4360,843,4920,6446,3674,356,3516
+,9797,3951,7602,2027,3368,6977,4427,3449,774,1405
+,5666,9743,9296,3834,2849,6536,7672,3343,5390,4665
+,7707,2648,8959,1769,4056,78,9202,2905,5674,3144
+,3557,2940,71,4055,9566,4975,160,9066,8156,3876
+,2437,1731,2685,357,285,8289,936,827,9302,7384
+,6912,8140,3545,5899,8534,2901,8960,5312,3645,6430
-,851,0,0,0,0,0,0,0,0,0
+,8491,4173,5107,7236,5977,6955,5457,2340,4416,7954
+,2137,6188,8614,7611,521,3150,8932,1642,5046,6502
+,7233,1181,9331,8880,652,9143,4747,9088,9552,7563
+,7344,871,7470,8839,888,4725,8010,4275,9865,2505
+,7685,995,2032,3797,2055,465,3214,930,2601,6270
+,7077,5945,8437,333,7632,6834,6006,3737,3391,3559
+,141,2896,705,9381,3217,8521,7814,9079,5137,7034
+,7888,8910,5267,1922,8004,4665,5374,5097,5619,7066
+,1964,9837,7241,7469,5884,327,576,3761,8102,1345
+,6348,9432,9606,6065,9233,5609,8066,3995,6111,3935
+,4840,129,8110,4734,9549,5854,824,332,1298,7564
+,1271,5910,960,5712,2479,1423,1818,9651,2361,585
+,4984,613,2044,1369,1506,7528,2603,5161,5091,3012
+,8810,2927,6839,1529,543,72,969,8842,3162,9103
+,5473,5694,8442,1449,1858,7742,6121,4748,8705,8207
+,5712,9367,4108,8985,9977,2629,103,8818,8756,1962
+,6287,3788,1198,9906,1572,1582,7047,3367,3463,3765
+,6585,4213,3404,6946,3109,8746,408,2097,1643,3576
+,6277,226,6220,4832,9442,7726,5718,8095,3659,8354
+,9397,1837,2100,1435,1255,9781,8598,4138,9368,1
+,3552,1517,7388,7883,5927,2012,8931,4672,782,7859
+,8564,4412,7311,4222,9283,7867,1403,91,8063,8042
+,4672,1168,689,3135,5591,2737,7167,8426,2109,1828
-,791,0,0,0,0,0,0,0,0,0
-,324,0,0,0,0,0,0,0,0,0
+,1657,1749,3135,4236,9030,9094,2681,6490,3745,1560
+,7647,6709,2728,6798,9035,6233,8229,7905,7585,400
+,2762,9708,9802,4799,6576,6231,4112,4437,8991,6942
+,4947,960,6633,5144,9521,3117,4494,6346,4616,4044
+,4342,1294,4533,6213,8640,2410,1794,3398,7561,9075
+,4728,6066,7578,7143,2328,6796,6287,9659,9802,1280
+,7092,1693,480,9027,9898,4714,7892,7056,6331,4168
+,5147,480,5946,3074,880,4209,3839,9608,5666,5966
+,8571,4746,8726,8389,4265,2784,708,7940,3129,5963
-,876,0,0,0,0,0,0,0,0,0
+,1811,3175,4728,9534,1960,2307,7050,2955,6164,7951
+,6915,1342,5259,3820,4861,7523,2477,6477,8778,8619
+,5896,5405,6756,2639,3777,4429,1424,5834,7930,3872
+,9757,5249,1890,421,1687,9700,4993,4233,6990,8688
+,1608,6207,2564,8413,6248,5190,2114,3128,6554,9363
+,5327,1552,3590,3939,3139,8639,6073,4420,8137,9744
+,7068,2055,8535,3490,1790,6565,5495,8222,8206,8877
+,4613,8851,9368,2635,4524,3232,5955,4568,5874,3952
+,5564,5681,7239,7081,3627,2158,1720,6147,7337,2664
-,240,0,0,0,0,0,0,0,0,0
+,9455,931,2438,7463,4550,322,6273,8991,4916,624
+,809,9151,8945,9291,775,9907,5801,4398,4508,3033
+,7547,8474,8411,9077,6969,6785,3004,2662,6174,2641
+,2318,481,9709,1977,7386,213,8536,4164,552,3826
-,283,0,0,0,0,0,0,0,0,0
+,7101,9636,2311,4370,9082,9451,238,3828,1141,1241
+,7137,3458,9316,2398,1454,8864,9287,4682,6770,4893
+,5520,9780,6369,1829,6228,162,1193,9651,8509,7097
+,9428,2458,9263,8534,5881,6663,4638,2086,8789,1020
+,4296,1575,7079,5713,9828,3368,5316,4939,2375,5669
+,8981,525,5434,5438,2499,257,5651,7096,3550,9295
+,72,4350,2736,243,1693,9993,9465,6527,274,5068
+,3073,6381,7152,9489,6961,3610,9739,9670,635,2033
+,6517,4499,2373,3548,8264,5800,2895,7077,7097,4076
+,5593,5291,1841,7266,4502,5085,8575,6543,2616,3627
+,5772,3465,400,1025,8393,5576,9750,4178,7011,5492
+,1076,6119,8780,5018,6513,2823,9001,2221,7923,3864
+,5846,2374,2775,7905,7654,5491,7903,6688,2044,1801
+,882,3447,7754,2007,9651,2429,3109,6065,5050,8865
+,8119,4289,5132,4873,9477,7487,3365,3628,9064,113
+,1361,4310,2610,2840,1802,7990,3975,5616,6549,5902
+,7683,3885,3522,984,323,6967,4220,8495,5563,8016
+,9475,2190,1597,697,6736,9115,5980,1577,8657,9663
+,9664,9245,4242,3054,6589,4231,1090,6806,646,7639
+,4376,7230,433,3375,4360,6418,4465,307,3622,1538
+,1450,5231,9601,4812,4783,7355,5486,8385,2644,439
+,5975,8565,4514,329,8097,8894,1652,192,6189,8891
+,9652,1892,4901,4010,1757,213,5546,8124,9255,7615
+,9130,4470,5314,8697,5868,1096,4523,7044,5726,2943
+,8846,4260,9950,3788,3514,9990,4462,6074,9729,3520
-,350,0,0,0,0,0,0,0,0,0
+,5247,8306,2487,9160,7283,496,8346,7069,5109,2985
+,8446,9558,7673,2748,5907,4920,6321,8455,5966,4900
+,391,8622,1841,3748,712,2072,5994,7733,2857,3206
+,6325,1993,8032,1172,5659,2961,3818,5301,7040,7333
+,7972,367,5822,6093,6560,9212,5073,4415,5196,8124
+,3481,7122,6972,2793,5447,1995,8359,4441,5478,1943
+,2995,2734,6651,7959,6536,6241,8953,6122,6874,9976
+,215,6857,3299,6489,665,3696,8699,2353,7404,3443
+,7568,607,1814,2310,6485,9282,3557,1044,1443,2781
+,7353,6195,7994,2681,5667,5484,6206,9426,9790,8588
+,1273,2646,4497,5327,9497,1559,1960,2139,9623,2701
+,5993,3439,3685,9688,8762,6345,7497,8709,8927,48
+,7293,3377,9660,2031,6233,1716,2126,8145,3615,6734
+,6878,5765,8648,5466,1894,9540,4172,2293,6064,8397
+,9002,8357,5848,5657,5376,7155,1092,4857,2946,4811
+,2877,3470,397,2206,787,2664,1804,5902,909,7770
+,321,1040,6325,122,3361,4490,6650,3231,4303,9382
+,9862,5152,7941,8319,4181,3900,4947,2316,1715,7615
+,9022,502,7113,5,228,2763,6270,3,5004,7079
+,474,5848,7278,4579,2806,1287,8672,7674,9196,2444
+,3108,5573,710,3376,144,3240,4167,4861,2108,3449
+,9902,5895,5837,3546,5790,7112,9614,3083,6475,8164
+,9981,6036,3431,2221,5300,9107,6787,8905,8100,6934
+,278,3733,8214,3413,3030,4894,1319,6495,1764,6740
+,4684,1809,5356,1687,7895,6810,8275,8149,5011,474
+,3940,5898,6953,4648,7517,2536,1198,4780,206,3567
